ID	LD03	LD03	LD03	LD06	LD06	LD06	LD09	LD09	LD09	LD12	LD12	LD12	LD15	LD15	LD15	LD18	LD18	LD18	LD21	LD21	LD21	LD24	LD24	LD24
Ot08g03970	-0.111511109	-0.313025043	-0.431188945	-0.602038635	-0.988500088	-0.890993778	-1.360708432	-1.590907757	-1.834347898	0.268879437	0.100130474	0.069325294	0.492386164	0.451499353	0.419598385	0.549468552	0.456200132	0.334076221	0.581695237	0.593997209	0.678239691	0.242444464	0.115914169	0.233162494
Ot09g03030	-1.264974012	-1.735460617	-1.586809212	-1.967375667	-2.366010279	-2.363628219	-2.031797015	-2.429363047	-2.541763024	0.425075958	-0.02365769	-0.118406118	0.973220477	1.068031763	0.785212883	1.255987085	1.18669343	1.009779364	0.937735875	0.476725275	0.583893128	-0.00611648	-0.258431464	-0.239461777
Ot10g03550	-0.662231005	-1.426183067	-1.123729728	-1.833475569	-3.303626452	-2.987288907	-1.41241464	-3.473833476	-3.832759679	0.724095605	0.543658941	NA	0.496974671	0.760262208	0.891051478	0.238703126	0.376059478	0.653731975	0.549197896	0.732681216	NA	0.181686379	-0.149558653	-0.121580985
Ot13g00440	-0.647522238	-0.352567072	-0.347346483	-0.997955983	-0.46237794	-0.577214394	0.409505734	0.746514484	0.6990269515	-0.669838003	0.816451003	NA	-1.99530168	-2.221921501	-3.136534949	-0.851328696	-0.766171355	-1.05874864	0.059245063	0.439903846	0.49136097	-0.011859124	0.140010975	0.052285751
Ot17g01250	-0.352659513	NA	0.0686112	-0.605506529	NA	-0.048141691	0.244541938	NA	NA	-0.917609908	-0.399429342	0.027273501	-1.70929414	-1.783455989	-1.851352154	-1.272936332	-1.236235589	-1.017652288	-0.443659423	-0.522708434	NA	-0.395187257	-0.085801166	NA
Ot17g00150	-1.628851926	-2.435955034	-2.423119021	0.350501221	0.398272253	0.19490306	NA	0.34337634	0.2957703	1.025310863	0.864049281	NA	-0.137863702	0.351548891	0.376213891	-2.89507351	-2.897114476	-2.341936082	-5.368246709	-6.133493476	-6.059865495	-4.489116939	-5.340915171	-4.850626039
Ot18g01230	0.148187879	0.493337041	0.735614549	-0.458204808	0.408712136	0.141640196	0.302170862	1.192171974	1.381706438	-0.447943226	-0.272229186	-0.404806989	-0.435537689	-0.453625722	-0.409692008	-0.509509727	-0.465709597	-0.762415987	-0.137362282	0.051074209	0.458010131	0.280917163	0.339335216	0.493689035
Ot19g00700	0.055603296	-0.123474664	-0.253175371	0.166639057	0.620320798	0.696131589	1.82752199	1.797678593	2.293017078	0.548498277	0.985102731	1.032795397	-0.148708758	-0.063874619	-0.276102521	-1.246362453	-0.881392863	-0.67210565	-1.514355335	-1.797268084	-2.465830144	-1.102946984	-1.070300652	-1.512128575
Ot17g01160	0.676052233	0.963693834	0.686547789	1.205381464	1.2948153525	1.22034396	1.838916758	2.102620683	2.225849136	1.305056866	1.044567602	1.267523663	0.683885967	0.521869257	0.648130221	0.402905288	0.262584939	0.106912681	0.078372111	0.149826923	-0.232185759	0.220276789	0.307241138	0.217473181
Ot18g02090	-1.194035812	-1.707902072	-1.53299503	-1.664231959	-2.269372303	-2.369720467	-0.582097747	-1.334642824	-1.421936135	0.699538942	0.212785467	0.186352237	0.698549973	0.829562201	0.729670498	0.942583326	1.317406714	1.245483351	0.583816652	0.34785839	0.74609903	-0.565522764	-1.228248808	-1.091287339
Ot18g01100	-0.036007035	0.401668709	0.44775675	0.310787499	0.79441429	0.878507722	0.654877867	1.095915477	1.601541188	0.148722795	0.694818599	0.919649989	0.036397575	0.186378235	0.277215644	0.245533129	0.181656722	0.092280119	-0.13275691	0.298924326	0.465930285	-0.021949045	0.12675743	0.078925497
Ot19g00720	-0.615728077	0.289805855	0.594816884	-0.071591484	0.674640002	0.719792198	0.432793136	0.624489292	1.232327395	0.321763984	0.320787927	1.098840584	0.072051528	0.341991727	-0.190079249	-0.007317598	0.010637012	-0.254737374	-0.38470463	-0.218832057	0.566902359	-0.344904308	0.153354507	0.302406694
Ot17g01130	0.011062773	0.374540822	0.395301193	0.271436519	1.090741226	1.134819425	0.777092244	1.160048899	1.791729006	-0.011955454	0.130182134	0.649277553	-0.375198358	-0.336917575	-0.650616316	-0.339030941	-0.586446844	-0.813207592	-0.399085142	-0.005980036	-0.170735837	-0.059292885	-0.187226199	-0.167941466
Ot18g01800	0.669224515	0.530365219	0.828743472	0.138659059	0.488897197	0.777778756	-0.257857392	0.373098415	0.814380425	-1.398111457	-1.17436851	-0.984136417	-1.339525573	-2.10116335	-1.991350873	0.133852895	-0.561982871	-0.53448959	0.557769888	0.597409056	0.700292198	0.714002671	0.496425814	0.790951214
Ot18g01030	0.180642807	0.113033944	0.046564222	-0.016372983	0.08534337	0.080651417	0.404149452	0.387777814	0.518654728	-0.128216169	0.145137636	0.136263465	-0.915827911	-1.682964628	-1.813528672	-1.545959617	-2.074879757	-1.888317406	-0.853300068	-1.043744379	-1.209491833	-0.177632584	-0.141104308	-0.132860202
Ot19g00860	-0.374562943	-0.727350399	-0.706400028	-0.633866997	-0.086631468	-0.140677162	0.235235796	0.297899777	0.916526212	0.069264364	-0.152993577	1.070533774	-0.184645145	-0.295432118	-0.778374269	-0.189979871	-0.626588256	-0.847960103	-0.238921892	-0.658866595	0.148939277	-0.266895538	-0.763626996	-0.696151835
Ot17g01020	0.31045596	-0.480738287	-0.292851372	-0.254789429	-1.670408297	-1.671120247	-2.434617009	-2.345237817	-2.390375527	-0.903607596	-0.849565	-0.899123652	0.077929592	0.540636228	0.344129551	0.194454715	0.528765148	0.591258316	0.739449194	0.011765722	0.235734915	0.441627915	0.039899489	0.106844948
Ot18g01770	-1.503907043	-1.692573713	-1.801966333	-0.686697986	-0.976470004	-1.051450868	0.834629849	-0.478849858	-0.480933953	1.578710296	1.008167107	1.179598451	1.368838773	1.55085299	1.358229469	0.62334765	0.747259629	0.744052854	-0.990938669	-1.13188546	-1.407458929	-0.836064525	-0.680166108	-0.434382817
Ot18g00930	0.040052581	0.66368195	0.4128441	0.581424245	1.072018482	1.070470588	0.879281832	0.877371498	0.840390764	0.571860877	0.752136988	1.04979744	0.725957244	0.935190806	0.769348155	0.708755097	0.846658433	0.656740843	0.305474621	0.167456241	0.320045834	0.001571186	-0.027354177	0.221347198
Ot19g00260	-0.146672305	0.22885048	0.030407627	0.13193769	0.521454974	0.74584171	0.349479232	0.592629449	0.819869061	0.334310906	0.265921227	0.401749774	0.364922871	0.315020065	-0.386561376	0.385624174	-0.105133302	-0.3395936	0.254414176	0.192070528	0.9072477	-0.077907458	0.20326137	0.639795621
Ot18g01010	-1.87923331	-1.685530463	-2.717434132	-0.957851812	-1.05041453	-1.183629115	0.431494824	0.947378885	1.187152475	0.78757284	1.376235645	1.6931209235	0.211192783	0.581866582	0.390693002	-0.538373992	-0.267953513	0.023759175	-1.054194909	-0.877579667	-1.013161123	-1.477781025	-1.400092622	-2.097929354
Ot08g01300	0.363451397	0.125932674	0.123669989	-0.265954868	-0.618912429	-0.526624586	-2.592412029	-2.576789955	-3.306811476	-1.894567077	-1.444924549	-1.236936362	0.1594959	0.4126239	0.295986938	1.042968111	1.392327723	1.420063401	1.039926251	0.653344208	1.037037109	0.192806389	0.126342782	0.255715153
Ot09g02520	-0.135182025	0.271098731	0.140555298	0.015678386	0.237326099	0.577490507	0.480565963	0.808855769	1.333054058	-0.001214241	0.004442881	0.574209235	0.427620057	0.302913948	0.103591653	0.62985232	0.564381549	0.596548851	-0.034121164	-0.15527891	0.147304889	-0.29264473	-0.085634539	-0.159681198
Ot10g01790	-1.162759583	-0.169297642	NA	-1.040155343	-0.187640465	-0.1814892095	-0.626354799	-0.18411305	-1.226748826	-0.195025109	0.181002373	1.033216615	-0.027786676	0.24092926	-0.696983585	0.333795804	0.200820898	-0.604009121	0.209626227	0.493266134	1.122143732	-0.002984825	-0.143054294	0.206056922
Ot11g02530	1.102879155	1.190670265	1.21128498	0.459836312	0.811321675	0.725476085	-2.090825801	-1.951024131	-1.786537472	-2.159212428	-2.144493824	-2.311641039	-1.968798585	-2.053380452	-2.297634782	-0.894707696	-0.914047821	-1.158826813	0.324915302	0.168378382	0.082008546	0.839382001	1.092060907	0.959532317
Ot13g00030	-0.37902789	-0.59918479	-0.515182317	-0.083076746	-0.266828334	-0.448221553	-0.029887428	0.162959125	-0.005242896	0.098898042	-0.183913692	0.235215011	-0.143982177	0.321378881	0.109152294	-0.395460557	0.000760453	-0.26177477	0.145039488	0.374515397	0.090304271	-0.256492448	-0.463583482	-0.54056917
Ot12g00630	0.382018593	0.544789805	0.680000002	0.149095621	0.580892818	0.59448411	-0.560234591	-0.338809127	-0.259443643	-0.380883756	-0.299934813	-0.16174159	-0.223780608	-0.375592838	-0.283325921	-0.69158064	-0.508229373	-0.346605278	-0.204592882	-0.137177819	-0.100405174	0.254829785	0.421741187	0.415637049
Ot11g01380	0.228217642	-0.138597023	-0.097478989	-0.067144935	-0.704368952	-0.951765735	-1.035065217	-2.034478032	-2.331943971	-0.435983036	-0.916416907	-1.170812876	-0.013654098	0.068647305	-0.237455181	0.269020876	0.456345793	0.249923937	0.662031306	0.913712966	NA	0.43242491	0.513566942	0.389946164
Ot11g02560	-0.371751694	-0.177367557	-0.258446093	-0.165894889	NA	0.214726631	0.031758274	0.247203746	NA	-0.325566619	-0.156815982	0.273099929	-1.91432708	-1.93462278	-1.716284773	-2.177735042	-2.691356043	-2.314076086	-0.981088207	-1.54576579	-1.499481832	-0.21397046	-0.671014985	-0.7883357765
Ot13g00080	-0.852088113	-0.614261505	-0.521777508	-1.243758478	-1.51829825	-1.432052673	0.507775129	0.806432276	NA	-0.739054029	0.197791978	0.442708398	-1.526651021	-1.91355972	-2.130086503	-1.353205698	-1.550156294	-1.582232591	-0.316220358	-0.028951726	-0.0844152755	0.066399268	-0.135758548	-0.064309453
Ot12g00910	0.073773379	0.218743008	0.006787895	NA	0.5414046315	0.33699237	0.047905895	-0.131811634	-0.011991438	-0.303841475	-0.099235555	-0.33429114	-0.617393735	-0.468080067	-0.57828971	-0.913545224	-0.897725725	-1.227725554	-0.426354091	-0.467860108	-0.651516611	-0.067262169	-0.147718481	-0.323218928
Ot11g01410	0.018438157	0.482893617	0.906091993	0.254440691	0.681570218	0.93077993	0.574201958	0.256410275	0.514145286	0.442114595	0.399837038	0.84385037	0.459189879	0.334295493	0.043424054	0.465512666	0.457672666	0.02826614	0.176791789	0.262716706	0.52797856	0.22069333	0.300850739	0.688036462
Ot11g02580	-0.481829077	-0.290654446	-0.261123611	-0.549390206	0.125678347	0.073104366	0.473108364	0.881794412	0.82743227	-0.459694972	0.030414575	-0.017195349	-2.204129427	-2.541129054	-2.450947233	-2.90363237	-2.994866394	-2.763282834	-1.840030103	-2.306684624	-2.49706355	-0.583682325	-0.937111854	-0.990143327
Ot13g00200	-0.643770816	-0.775335176	-0.585237611	-1.074362463	-1.37149969	-1.314104979	0.359611916	0.300633099	0.441207975	0.466444508	0.539611213	0.676446295	0.259229194	0.477681087	0.329802378	0.094573446	0.199382028	0.183903988	0.080344521	0.587711136	0.5695560075	-0.316254803	-0.087709011	-0.0754813
Ot12g00900	0.58539793	0.259579154	0.22429102	0.396827867	0.2231949975	0.3342402695	-0.229878746	-0.154794383	-0.2836560805	-0.126779765	-0.453774462	-0.311357108	0.174601341	0.02665088	0.015574804	0.202152287	-0.011267518	0.302451627	0.249385744	0.108321259	0.169529032	0.746793593	0.296370038	0.427801366
Ot11g01450	-0.268812984	-0.214168116	-0.190255829	-0.496259048	-0.599402704	-0.633767723	-0.922555222	-0.956011187	-1.069320807	-0.253879979	0.150890279	0.267107689	0.426879211	0.392989253	0.194299011	0.573104021	0.55948672	0.450313701	0.612405689	0.882669701	0.954073236	0.407627973	0.244150061	0.24593018
Ot11g02680	-0.187855805	-0.185655282	-0.146219355	0.01165565	0.409790777	0.43804397	0.477445265	1.04516651	1.1360116	-0.497185475	-0.02274584	0.000625144	-0.050668997	0.288022182	0.133653888	0.398229642	1.133339657	0.806970681	0.164331821	0.122848343	0.493562065	-0.219496184	-0.520783797	-0.410224704
Ot11g02940	0.274445903	0.604847792	0.485228593	0.653602034	0.698407957	0.928623611	0.070735099	0.743916686	0.9302586695	-0.083895422	0.293594629	0.582406226	-0.017420556	0.090067016	-0.103413482	-0.11297183	0.083640769	-0.146854867	0.145589814	0.171087996	0.256140432	0.254351327	0.348019812	0.3720789045
Ot13g00290	-0.244811361	0.102987017	-0.044556851	-0.109668068	-0.045218128	0.323610837	-0.209458424	0.092117563	0.548050103	0.392307969	0.017092178	0.527220774	0.2442406	0.723329138	0.295664095	0.637255965	0.72906424	0.607967273	0.744193776	0.670514326	1.037695059	0.332665683	0.4725117375	0.470127321
Ot12g00910	0.211874282	0.733476539	0.469523549	0.443929709	1.319775872	1.355159165	0.76202748	1.132177454	1.611283059	0.004912791	0.325775417	0.473385718	-0.116086685	-0.038788654	-0.336190672	-0.313275064	-0.298366735	-0.611871073	-0.106066777	-0.104125563	0.000546592	-0.076367433	-0.036276415	-0.228082952
Ot17g01350	-0.400400711	-0.71983983	-0.540396945	-0.313855774	-0.4309598525	-0.287125259	-0.207627733	-0.204428012	-0.189186715	-0.064756833	0.484056264	0.716067123	-0.488924114	-0.332980523	-0.29786833	-0.727788698	-0.366662013	-0.025198687	0.199112464	0.294373412	0.407176518	-0.028399702	-0.436125531	-0.369932471
Ot17g00180	-1.536704788	-2.688450426	-2.628247825	-0.077197852	-0.498970995	-0.327000915	0.802427074	0.226255539	0.303753832	1.211962772	1.07519534	1.297338095	0.50510555	0.428913827	0.651308347	-0.657279882	-0.778063361	-0.252896024	-2.042789973	-2.702622886	-2.619887491	-1.81107846	-2.930003277	-2.805191287
Ot18g01250	-0.126028593	0.432735187	0.824096949	0.3575105	1.307782613	1.224263814	0.155288754	0.924705408	1.737488728	-0.83451829	-0.976150795	0.118052946	-1.005061782	-1.184564385	-0.931762934	-1.269274233	-1.237547447	-1.146573757	-0.950192981	-0.592954764	-0.518464257	-0.296613255	0.240397046	0.180142836
Ot18g00080	-0.293844974	0.103567455	0.205598871	-0.848789617	-0.932085577	-1.037095349	-0.740380073	-1.141530897	-1.203854331	0.14727979	-0.023156789	0.44509713	0.136375683	0.380378156	0.121421167	0.257392332	0.372221264	0.077230931	0.175370312	0.494470412	0.594536635	0.463083134	0.645779155	0.681208148
Ot07g01100	-0.304325775	0.112060465	0.175235363	-0.416324782	0.115838887	0.199467835	0.097722429	0.124488601	0.338354596	0.111350774	-0.053137779	0.021721554	0.118197111	0.170314575	-0.016319946	-0.486112919	0.187983546	0.06331276	0.024558391	0.399933778	0.334988247	-0.160845059	0.237516704	0.306721686
Ot07g03210	0.328385875	0.823656148	0.828109288	0.60233588	1.081012995	1.202585426	0.351698371	0.431020343	0.750675238	0.149172534	0.357717683	0.660182008	-0.289559883	-0.402384883	-0.298717712	-0.599639023	-0.52457765	-0.303220547	-0.910212975	-0.522412897	-0.617107508	-0.114449565	0.263694931	0.29216712
Ot07g02560	-0.599280943	-0.099016246	-0.049791619	-0.551401481	-0.085593566	0.022772283	0.177484925	0.326964509	0.084904685	0.382234158	0.448435282	0.886467966	0.508801782	0.856493848	0.739859122	0.655867655	1.011302225	0.491391635	0.14540954	0.24620072	0.516264617	-0.068164671	-0.164078595	-0.07818719
Ot07g01660	-0.420445221	-0.303649086	-0.328127229	-0.471412552	0.1272324	0.149248503	0.337862139	NA	NA	-0.697136109	0.350934558	0.443856427	-4.338324151	-5.30490202	-5.070167258	-5.828643209	-5.552539786	-5.557980903	-3.972407321	-3.820993244	-3.9700363465	-0.829041079	-0.7725060555	-0.896515043
Ot07g00940	0.3207795	0.607523538	0.74233698	-0.367213345	0.183782682	0.107023847	-1.254760013	-1.311706067	-1.50140011	-0.337676293	-0.439865813	-0.284372255	-0.208377591	0.078094766	0.001480208	0.166399286	0.340040441	0.202789097	0.495104773	0.50728547	0.610418601	0.322747182	0.490691228	0.291114664
Ot08g00180	-1.018863715	-0.74048868	-0.646485565	-0.651854553	-0.422705464	-0.367823476	0.339282982	0.806049675	0.922415813	-0.257179504	0.314318009	0.494744038	-0.248619532	0.23564866	0.047679395	-0.444812531	-0.010086536	-0.373197069	-0.185684811	0.171613649	0.330896286	-0.358939417	-0.321677758	-0.404235448
Ot07g00150	0.274025911	0.561962374	0.646533586	0.288863202	0.549896052	0.654551544	-0.595914649	-0.464446678	-0.387199733	-0.593877427	-0.662704758	-0.489321253	-0.842986897	-0.688898318	-0.830557607	-0.649097132	-0.594967977	-0.486785725	-0.816380453	-0.797343588	-0.88169189	-0.061804176	0.386066304	0.311725384
Ot07g01620	0.03209049	0.106097336	0.134199535	0.167299606	0.083088934	0.070603583	-0.415550023	0.063218189	0.267246268	-1.002050507	-0.312064656	-0.249910603	-1.117209517	-0.524449619	-0.90959614	-0.684499096	-0.625230191	-1.111803939	-0.241694301	0.280327184	0.157944984	0.094841483	0.243304562	0.109643837
Ot07g00900	0.341555634	0.316713695	0.319226452	0.382929307	0.715310783	0.768419904	0.752388138	0.988504826	0.997069443	0.186216199	0.227006209	0.353137938	0.083683915	-0.0977725	-0.093958633	-0.029699481	-0.11444349	-0.001011475	-0.639980868	-0.868183251	-0.793651732	-0.106239006	-0.284834725	-0.036847185
Ot08g00200	0.268205455	0.019489105	0.058562389	0.207335365	0.328151106	0.329412325	0.547226701	0.663002449	0.666628264	0.269376334	0.331555355	0.552186401	-0.181234086	-0.067539413	-0.203075638	-0.487625407	-0.54878974	-0.528741759	-0.596883848	-0.727621612	-0.835612844	-0.270950149	-0.345093261	-0.399580247
Ot07g02390	0.129315828	0.526422711	0.561184757	-0.336359049	0.041591954	0.215107142	-1.776590305	-1.323285092	-1.446118927	-0.138595208	-0.351306447	-0.270200199	0.239366736	0.222015232	0.195387967	0.085172671	0.35037953	0.253167471	0.11192601	0.432209797	0.343256876	0.332345706	0.463767645	0.458827033
Ot07g00700	-0.122293805	0.024674499	-0.245206921	-0.169442023	-0.105773172	-0.132764983	0.081798663	-0.391263003	-0.598602172	0.269894193	0.016389303	0.201220432	0.526391015	0.329827455	0.074848409	0.571959721	0.451845832	0.487592173	0.335937221	0.630320309	0.918166481	0.156658404	-0.101829151	-0.068327225
Ot07g00850	0.47602598	0.003125627	0.018513824	0.12457591	-0.189285369	-0.271421231	-0.480673097	-0.767974598	-0.623223114	-0.519590806	-1.143857703	-0.986415155	0.089451199	0.161437067	0.073632	0.407445882	0.592825565	0.480820212	0.340722573	0.491008008	0.612898932	0.140546691	0.224631418	0.133657938
Ot08g00260	-0.227588043	-0.363570821	-0.411130708	-0.302782874	0.042282797	-0.017943317	0.444169457	0.270441963	0.41424404	0.362745844	0.70726398	1.029069018	0.39033097	0.393394034	0.058211289	0.354447336	0.377192035	0.18515661	-0.05115465	-0.158326844	0.076750128	-0.34939556	-0.543704014	-0.611746337
Ot07g02280	-1.67904401	-3.1434166	-3.028984081	-1.998154433	-3.50054552	-3.482008783	-0.200939561	-0.644636642	-0.431151123	0.5801961	0.207575644	0.221900604	0.84495199	NA	1.129816547	0.580964713	1.144725952	0.687932821	0.062661051	0.25997103	0.343769506	-0.827309148	-1.666892527	-1.521369521
Ot07g00770	-0.263359003	-0.313438017	-0.303136855	0.188872357	-0.287490835	-0.170338213	-0.002138773	0.310777218	0.515267975	0.17921147	0.100429902	0.357042492	-0.257129334	-0.139268572	-0.186230986	-0.687232276	-0.56665343	-0.471906328	-0.667119858	-0.804712123	-0.718731583	-0.729838811	-0.461124945	-0.221215117
Ot07g04410	0.123794357	0.75864153	1.019436507	-1.240609897	-0.575347744	-0.587139953	-1.11986736	-0.817150416	-1.040293048	-1.558285135	-1.386055601	-1.858170038	-1.070176845	-0.991659927	-1.110023984	0.063003911	0.499466644	0.082957749	1.013343964	0.726127439	1.123052572	0.707792127	0.805760503	0.865218192
Ot08g00440	-0.027858688	0.421937419	0.556612315	-0.054359201	0.862621018	1.035195069	0.206963778	0.405890206	0.539658116	0.305396818	0.422111326	0.714948292	0.108914691	0.248915939	-0.706658159	0.074763848	0.222953415	-0.352015738	0.141959855	0.209592397	0.45515127	0.097939375	0.153504045	0.376920526
Ot11g01040	0.838818912	0.884916433	0.931459993	0.839318701	0.841386021	0.611878036	0.104136789	0.137953177	0.275599705	-1.101791947	-0.882829229	-0.934802273	-2.426363903	-2.6743012	-2.690820898	-1.722058269	-1.99713755	-1.92282613	-0.831595058	-0.906113632	-1.00783753	0.197134338	0.530291221	0.367443264
Ot11g02460	-0.101059413	0.768456557	0.812510609	-0.32250119	0.311674518	1.042672825	0.87522854	0.876820512	1.758904677	0.146268041	-0.055401247	0.742722849	0.121266543	0.120505991	-0.905614981	0.190437142	0.069599027	-0.6084627	0.134361184	0.067060445	0.393101709	0.282751004	0.159915038	0.636783451
Ot11g03490	0.216158782	0.444039301	0.346063924	0.517312311	0.89541839	0.896447849	0.533456919	0.347879408	0.614263809	-0.036088408	0.174778374	0.360916357	-0.917279547	-1.359366652	-1.458964654	-1.219759559	-1.704050249	-1.546533118	-1.085833181	-1.451788365	-1.582942623	-0.370569089	-0.4259516395	-0.4754849
Ot12g00580	-0.670596377	-1.443927267	-1.762081629	-0.054847188	0.252220016	0.242962234	0.96203587	1.053323423	1.097313652	0.903020438	1.152783908	1.360001588	-0.09663133	-0.009174979	-0.040169245	-1.219020951	-1.25409159	-0.760318455	-1.552045254	-2.276579834	-3.292651985	-1.50127259	-2.042385861	-2.647023864
Ot11g01120	-0.464162721	0.370098624	0.3539379475	-0.322712916	0.367092082	0.516010323	1.162501096	1.008707007	1.406174848	0.934136078	0.872516528	1.058687238	0.55274759	0.712056447	-0.079751465	0.200689158	0.533188387	-0.053947299	0.189179093	0.295975549	0.212525469	0.150067277	0.48448759	0.470277693
Ot04g02150	-0.00983856	NA	0.455255818	-0.080361863	NA	0.508114341	0.239219857	NA	NA	-0.37117737	-0.062185092	NA	-3.433334522	-3.657214373	-3.595224916	-4.601665662	-4.025258236	-3.924184256	-2.99664635	-2.611488467	-3.272176635	-0.281485387	0.262150323	0.0823578485
Ot03g05150	0.019480139	1.126931537	0.835303952	0.429754635	0.823608507	1.315359212	0.231338342	0.769703898	0.454162077	0.807739171	0.560404689	0.301847037	0.432166466	0.526769584	-0.025350347	0.627811566	1.087676566	0.174464248	0.764593343	0.92768005	1.031060783	0.760651483	1.150828892	1.289566714
