ID	RNA_LD03	RNA_LD03	RNA_LD03	RNA_LD06	RNA_LD06	RNA_LD06	RNA_LD09	RNA_LD09	RNA_LD09	RNA_LD12	RNA_LD12	RNA_LD12	RNA_LD15	RNA_LD15	RNA_LD15	RNA_LD18	RNA_LD18	RNA_LD18	RNA_LD21	RNA_LD21	RNA_LD21	RNA_LD24	RNA_LD24	RNA_LD24	RNA_mean.level	RNA_max.level	RNA_rhythm.pvalue_original	RNA_rhythm.pvalue_Brown	RNA_rhythm.pvalue
Ot08g03650	6.233002894	6.52146403	6.170803144	6.600272752	6.415481585	6.090843966	7.953854196	8.136676082	8.177917752	7.446287899	8.602859857	8.460883658	7.754705464	7.714235195	7.44304581	8.278720813	8.265158638	8.111940534	7.441643891	6.846636028	7.305974732	6.594224271	6.271665976	6.237762333	7.29483589583333	8.602859857	7.52773635124676e-07	7.52773635124676e-07	7.52773635124676e-07
Ot09g02870	7.44395369	7.654560279	7.571740796	7.801835167	7.970596288	8.138263081	8.254566113	8.256730034	8.412503571	7.241204281	7.984705533	7.932879785	6.768441993	6.871499185	6.683026272	6.432636768	6.547228447	6.118821259	6.998026467	7.017886587	6.872928632	7.150529272	7.157020742	7.176186722	7.3524071235	8.412503571	6.67774928395989e-07	5.53447845806722e-10	5.53447845806722e-10
Ot10g03220	6.730801985	6.317543695	6.416639665	6.547100813	5.78476639	6.044260814	7.274130391	7.218068169	7.25343177	7.343862287	7.500789476	7.672070286	7.271706009	7.389384208	7.251728831	7.317440934	7.411393126	7.378944849	7.293510667	7.584476714	7.840959382	6.971056003	6.967524116	7.190150412	7.08215587466667	7.840959382	0.00333249170817396	0.00333249170817396	0.00333249170817396
Ot11g03500	7.381983857	7.436719129	7.562474266	7.712076379	8.183094507	8.498833029	8.390368135	8.664566752	9.255802364	7.764647908	7.715695036	8.558326891	7.785010282	7.725751238	7.308037988	7.557584701	7.656798898	7.254950755	7.51058963	7.367846849	8.257305053	7.392883157	7.292448197	7.568359744	7.82508978104167	9.255802364	5.5600112554284e-07	5.5600112554284e-07	5.5600112554284e-07
Ot08g03970	7.367208734	7.1656948	7.047530898	6.876681208	6.490219755	6.587726065	6.118011411	5.887812086	5.644371945	7.74759928	7.578850317	7.548045137	7.971106007	7.930219196	7.898318228	8.028188395	7.934919975	7.812796064	8.06041508	8.072717052	8.156959534	7.721164307	7.594634012	7.711882337	7.37304465929167	8.156959534	1.19849488970547e-06	8.76864491980336e-06	8.76864491980336e-06
Ot09g03030	6.213745831	5.743259226	5.891910631	5.511344176	5.112709564	5.115091624	5.446922828	5.049356796	4.936956819	7.903795801	7.455062153	7.360313725	8.45194032	8.546751606	8.263932726	8.734706928	8.665413273	8.488499207	8.416455718	7.955445118	8.062612971	7.472603363	7.220288379	7.239258066	7.05243236870833	8.734706928	0.00108095260492002	0.00108095260492002	0.00108095260492002
Ot10g03550	6.816488838	6.052536776	6.354990115	5.645244274	4.175093391	4.491430936	6.066305203	4.004886367	3.645960164	8.202815448	8.022378784	NA	7.975694514	8.238982051	8.369771321	7.717422969	7.854779321	8.132451818	8.027917739	8.211401059	NA	7.660406222	7.32916119	7.357138858	6.83423897081818	8.369771321	0.00883024294076455	0.00883024294076455	0.00883024294076455
Ot13g00440	6.831197605	7.126152771	7.13137336	6.48076386	7.016341903	6.901505449	7.888225577	8.225234327	8.1777467945	6.80888184	8.295170846	NA	5.483418163	5.256798342	4.342184894	6.627391147	6.712548488	6.419971203	7.537964906	7.918623689	7.970080813	7.466860719	7.618730818	7.531005594	7.03339883080435	8.295170846	0.398576981913455	0.398576981913455	0.398576981913455
Ot17g01250	7.12606033	NA	7.547331043	6.873213314	NA	7.430578152	7.723261781	NA	NA	6.561109935	7.079290501	7.505993344	5.769425703	5.695263854	5.627367689	6.205783511	6.242484254	6.461067555	7.03506042	6.956011409	NA	7.083532586	7.392918677	NA	6.79531966988889	7.723261781	0.0107142305227773	0.0107142305227773	0.0107142305227773
Ot17g00150	5.849867917	5.042764809	5.055600822	7.829221064	7.876992096	7.673622903	NA	7.822096183	7.774490143	8.504030706	8.342769124	NA	7.340856141	7.830268734	7.854933734	4.583646333	4.581605367	5.136783761	2.110473134	1.345226367	1.418854348	2.989602904	2.137804672	2.628093804	5.53316386663636	8.504030706	8.69878889187343e-07	8.69878889187343e-07	8.69878889187343e-07
Ot18g01230	7.626907722	7.972056884	8.214334392	7.020515035	7.887431979	7.620360039	7.780890705	8.670891817	8.860426281	7.030776617	7.206490657	7.073912854	7.043182154	7.025094121	7.069027835	6.969210116	7.013010246	6.716303856	7.341357561	7.529794052	7.936729974	7.759637006	7.818055059	7.972408878	7.54828357666667	8.860426281	0.00654416203720188	9.91901285257963e-05	9.91901285257963e-05
Ot19g00700	7.534323139	7.355245179	7.225544472	7.6453589	8.099040641	8.174851432	9.306241833	9.276398436	9.771736921	8.02721812	8.463822574	8.51151524	7.330011085	7.414845224	7.202617322	6.23235739	6.59732698	6.806614193	5.964364508	5.681451759	5.012889699	6.375772859	6.408419191	5.966591268	7.34935659854167	9.771736921	7.62244851293788e-07	7.62244851293788e-07	7.62244851293788e-07
Ot17g01160	8.154772076	8.442413677	8.165267632	8.684101307	8.7735351955	8.699063803	9.317636601	9.581340526	9.704568979	8.783776709	8.523287445	8.746243506	8.16260581	8.0005891	8.126850064	7.881625131	7.741304782	7.585632524	7.557091954	7.628546766	7.246534084	7.698996632	7.785960981	7.696193024	8.2786640961875	9.704568979	6.72240857905153e-07	6.72240857905153e-07	6.72240857905153e-07
Ot18g02090	6.284684031	5.770817771	5.945724813	5.814487884	5.20934754	5.108999376	6.896622096	6.144077019	6.056783708	8.178258785	7.69150531	7.66507208	8.177269816	8.308282044	8.208390341	8.421303169	8.796126557	8.724203194	8.062536495	7.826578233	8.224818873	6.913197079	6.250471035	6.387432504	7.12779123970833	8.796126557	7.44404620587169e-07	7.97590892479292e-08	7.97590892479292e-08
Ot18g01100	7.442712808	7.880388552	7.926476593	7.789507342	8.273134133	8.357227565	8.13359771	8.57463532	9.080261031	7.627442638	8.173538442	8.398369832	7.515117418	7.665098078	7.755935487	7.724252972	7.660376565	7.570999962	7.345962933	7.777644169	7.944650128	7.456770798	7.605477273	7.55764534	7.884884295375	9.080261031	7.397024071576e-07	7.397024071576e-07	7.397024071576e-07
Ot19g00720	6.862991766	7.768525698	8.073536727	7.407128359	8.153359845	8.198512041	7.911512979	8.103209135	8.711047238	7.800483827	7.79950777	8.577560427	7.550771371	7.82071157	7.288640594	7.471402245	7.489356855	7.223982469	7.094015213	7.259887786	8.045622202	7.133815535	7.63207435	7.781126537	7.71494927245833	8.711047238	0.0135340965229237	0.0135340965229237	0.0135340965229237
Ot17g01130	7.489782616	7.853260665	7.874021036	7.750156362	8.569461069	8.613539268	8.255812087	8.638768742	9.270448849	7.466764389	7.608901977	8.127997396	7.103521485	7.141802268	6.828103527	7.139688902	6.892272999	6.665512251	7.079634701	7.472739807	7.307984006	7.419426958	7.291493644	7.310778377	7.632161390875	9.270448849	7.71560750622719e-07	7.71560750622719e-07	7.71560750622719e-07
Ot18g01800	8.147944358	8.009085062	8.307463315	7.617378902	7.96761704	8.256498599	7.220862451	7.851818258	8.293100268	6.080608386	6.304351333	6.494583426	6.13919427	5.377556493	5.48736897	7.612572738	6.916736972	6.944230253	8.036489731	8.076128899	8.179012041	8.192722514	7.975145657	8.269671057	7.40658920804167	8.307463315	0.00696559873308695	0.00696559873308695	0.00696559873308695
Ot18g01030	7.65936265	7.591753787	7.525284065	7.46234686	7.564063213	7.55937126	7.882869295	7.866497657	7.997374571	7.350503674	7.623857479	7.614983308	6.562891932	5.795755215	5.665191171	5.932760226	5.403840086	5.590402437	6.625419775	6.434975464	6.26922801	7.301087259	7.337615535	7.345859641	6.99847060708333	7.997374571	0.00902183743023694	0.00902183743023694	0.00902183743023694
Ot19g00860	7.1041569	6.751369444	6.772319815	6.844852846	7.392088375	7.338042681	7.713955639	7.77661962	8.395246055	7.547984207	7.325726266	8.549253617	7.294074698	7.183287725	6.700345574	7.288739972	6.852131587	6.63075974	7.239797951	6.819853248	7.62765912	7.211824305	6.715092847	6.782568008	7.24407292666667	8.549253617	0.00774983243290313	0.00774983243290313	0.00774983243290313
Ot17g01020	7.789175803	6.997981556	7.185868471	7.223930414	5.808311546	5.807599596	5.044102834	5.133482026	5.088344316	6.575112247	6.629154843	6.579596191	7.556649435	8.019356071	7.822849394	7.673174558	8.007484991	8.069978159	8.218169037	7.490485565	7.714454758	7.920347758	7.518619332	7.585564791	7.06082473716667	8.218169037	1.0171182563675e-06	1.0171182563675e-06	1.0171182563675e-06
Ot18g01770	5.9748128	5.78614613	5.67675351	6.792021857	6.502249839	6.427268975	8.313349692	6.999869985	6.99778589	9.057430139	8.48688695	8.658318294	8.847558616	9.029572833	8.836949312	8.102067493	8.225979472	8.222772697	6.487781174	6.346834383	6.071260914	6.642655318	6.798553735	7.044337026	7.34705070975	9.057430139	1.05525643449555e-06	1.05525643449555e-06	1.05525643449555e-06
Ot18g00930	7.518772424	8.142401793	7.891563943	8.060144088	8.550738325	8.549190431	8.358001675	8.356091341	8.319110607	8.05058072	8.230856831	8.528517283	8.204677087	8.413910649	8.248067998	8.18747494	8.325378276	8.135460686	7.784194464	7.646176084	7.798765677	7.480291029	7.451365666	7.700067041	8.08049162741667	8.550738325	8.92103650765046e-07	8.92103650765046e-07	8.92103650765046e-07
Ot19g00260	7.332047538	7.707570323	7.50912747	7.610657533	8.000174817	8.224561553	7.828199075	8.071349292	8.298588904	7.813030749	7.74464107	7.880469617	7.843642714	7.793739908	7.092158467	7.864344017	7.373586541	7.139126243	7.733134019	7.670790371	8.385967543	7.400812385	7.681981213	8.118515464	7.75492570108333	8.385967543	0.308390108171973	0.308390108171973	0.308390108171973
Ot18g01010	5.599486533	5.79318938	4.761285711	6.520868031	6.428305313	6.295090728	7.910214667	8.426098728	8.665872318	8.266292683	8.854955488	9.1718407665	7.689912626	8.060586425	7.869412845	6.940345851	7.21076633	7.502479018	6.424524934	6.601140176	6.46555872	6.000938818	6.078627221	5.380790489	7.03827432497917	9.1718407665	0.00237824787655324	0.00237824787655324	0.00237824787655324
Ot08g01300	7.84217124	7.604652517	7.602389832	7.212764975	6.859807414	6.952095257	4.886307814	4.901929888	4.171908367	5.584152766	6.033795294	6.241783481	7.638215743	7.891343743	7.774706781	8.521687954	8.871047566	8.898783244	8.518646094	8.132064051	8.515756952	7.671526232	7.605062625	7.734434996	7.23612645108333	8.898783244	6.13056999364885e-07	6.13056999364885e-07	6.13056999364885e-07
Ot09g02520	7.343537818	7.749818574	7.619275141	7.494398229	7.716045942	8.05621035	7.959285806	8.287575612	8.811773901	7.477505602	7.483162724	8.052929078	7.9063399	7.781633791	7.582311496	8.108572163	8.043101392	8.075268694	7.444598679	7.323440933	7.626024732	7.186075113	7.393085304	7.319038645	7.74337540079167	8.811773901	0.0201214262839615	0.000885214430899559	0.000885214430899559
Ot10g01790	6.31596026	7.309422201	NA	6.4385645	7.291079378	7.2972306335	6.852365044	7.294606793	6.251971017	7.283694734	7.659722216	8.511936458	7.450933167	7.719649103	6.781736258	7.812515647	7.679540741	6.874710722	7.68834607	7.971985977	8.600863575	7.475735018	7.335665549	7.684776765	7.37317442723913	8.600863575	0.070508514622132	0.000106998180480982	0.000106998180480982
Ot11g02530	8.581598998	8.669390108	8.690004823	7.938556155	8.290041518	8.204195928	5.387894042	5.527695712	5.692182371	5.319507415	5.334226019	5.167078804	5.509921258	5.425339391	5.181085061	6.584012147	6.564672022	6.31989303	7.803635145	7.647098225	7.560728389	8.318101844	8.57078075	8.43825216	6.946912138125	8.690004823	0.000163830141495877	8.45199125077855e-05	8.45199125077855e-05
Ot13g00030	7.099691953	6.879535053	6.963537526	7.395643097	7.211891509	7.03049829	7.448832415	7.641678968	7.473476947	7.577617885	7.294806151	7.713934854	7.334737666	7.800098724	7.587872137	7.083259286	7.479480296	7.216945073	7.623759331	7.85323524	7.569024114	7.222227395	7.015136361	6.938150673	7.35229462266667	7.85323524	0.0255310815961777	0.0255310815961777	0.0255310815961777
Ot12g00630	7.860738436	8.023509648	8.158719845	7.627815464	8.059612661	8.073203953	6.918485252	7.139910716	7.2192762	7.097836087	7.17878503	7.316978253	7.254939235	7.103127005	7.195393922	6.787139203	6.97049047	7.132114565	7.274126961	7.341542024	7.378314669	7.733549628	7.90046103	7.894356892	7.44335113120833	8.158719845	6.78288259660069e-07	6.78288259660069e-07	6.78288259660069e-07
Ot11g01380	7.706937485	7.34012282	7.381240854	7.411574908	6.774350891	6.526954108	6.443654626	5.444241811	5.146775872	7.042736807	6.562302936	6.307906967	7.465065745	7.547367148	7.241264662	7.747740719	7.935065636	7.72864378	8.140751149	8.392432809	NA	7.911144753	7.992286785	7.868666007	7.21996649034783	8.392432809	7.01511189591865e-07	1.77699284284516e-06	1.77699284284516e-06
Ot11g02560	7.106968149	7.301352286	7.22027375	7.312824954	NA	7.693446474	7.510478117	7.725923589	NA	7.153153224	7.321903861	7.751819772	5.564392763	5.544097063	5.76243507	5.300984801	4.7873638	5.164643757	6.497631636	5.932954053	5.979238011	7.264749383	6.807704858	6.6903840665	6.60885106534091	7.751819772	0.00135490492352596	0.00135490492352596	0.00135490492352596
Ot13g00080	6.62663173	6.864458338	6.956942335	6.234961365	5.960421593	6.04666717	7.986494972	8.285152119	NA	6.739665814	7.676511821	7.921428241	5.952068822	5.565160123	5.34863334	6.125514145	5.928563549	5.896487252	7.162499485	7.449768117	7.3943045675	7.545119111	7.342961295	7.41441039	6.80107937802174	8.285152119	6.92313968369547e-07	6.92313968369547e-07	6.92313968369547e-07
Ot12g00910	7.552493222	7.697462851	7.485507738	NA	8.0201244745	7.815712213	7.526625738	7.346908209	7.466728405	7.174878368	7.379484288	7.144428703	6.861326108	7.010639776	6.900430133	6.565174619	6.580994118	6.250994289	7.052365752	7.010859735	6.827203232	7.411457674	7.331001362	7.155500915	7.19862182271739	8.0201244745	7.15993400377592e-07	4.12924332016842e-08	4.12924332016842e-08
Ot11g01410	7.497158	7.96161346	8.384811836	7.733160534	8.160290061	8.409499773	8.052921801	7.735130118	7.992865129	7.920834438	7.878556881	8.322570213	7.937909722	7.813015336	7.522143897	7.944232509	7.936392509	7.506985983	7.655511632	7.741436549	8.006698403	7.699413173	7.779570582	8.166756305	7.90664495183333	8.409499773	0.228996021864368	0.0306683096667732	0.0306683096667732
Ot11g02580	6.996890766	7.188065397	7.217596232	6.929329637	7.60439819	7.551824209	7.951828207	8.360514255	8.306152113	7.019024871	7.509134418	7.461524494	5.274590416	4.937590789	5.02777261	4.575087473	4.483853449	4.715437009	5.63868974	5.172035219	4.981656293	6.895037518	6.541607989	6.488576516	6.45117574208333	8.360514255	9.03514960147185e-07	9.03514960147185e-07	9.03514960147185e-07
Ot13g00200	6.834949027	6.703384667	6.893482232	6.40435738	6.107220153	6.164614864	7.838331759	7.779352942	7.919927818	7.945164351	8.018331056	8.155166138	7.737949037	7.95640093	7.808522221	7.573293289	7.678101871	7.662623831	7.559064364	8.066430979	8.0482758505	7.16246504	7.391010832	7.403238543	7.4504857989375	8.155166138	0.0430715968295259	0.0430715968295259	0.0430715968295259
Ot12g00900	8.064117773	7.738298997	7.703010863	7.87554771	7.7019148405	7.8129601125	7.248841097	7.32392546	7.1950637625	7.351940078	7.024945381	7.167362735	7.653321184	7.505370723	7.494294647	7.68087213	7.467452325	7.78117147	7.728105587	7.587041102	7.648248875	8.225513436	7.775089881	7.906521209	7.61087214077083	8.225513436	0.00229873659064	0.00229873659064	0.00229873659064
Ot11g01450	7.209906859	7.264551727	7.288464014	6.982460795	6.879317139	6.84495212	6.556164621	6.522708656	6.409399036	7.224839864	7.629610122	7.745827532	7.905599054	7.871709096	7.673018854	8.051823864	8.038206563	7.929033544	8.091125532	8.361389544	8.432793079	7.886347816	7.722869904	7.724650023	7.51028205658333	8.432793079	6.52796155734551e-07	6.52796155734551e-07	6.52796155734551e-07
Ot11g02680	7.290864038	7.293064561	7.332500488	7.490375493	7.88851062	7.916763813	7.956165108	8.523886353	8.614731443	6.981534368	7.455974003	7.479344987	7.428050846	7.766742025	7.612373731	7.876949485	8.6120595	8.285690524	7.643051664	7.601568186	7.972281908	7.259223659	6.957936046	7.068495139	7.6795057495	8.614731443	0.315931439130664	0.315931439130664	0.315931439130664
Ot11g02940	7.753165746	8.083567635	7.963948436	8.132321877	8.1771278	8.407343454	7.549454942	8.222636529	8.4089785125	7.394824421	7.772314472	8.061126069	7.461299287	7.568786859	7.375306361	7.365748013	7.562360612	7.331864976	7.624309657	7.649807839	7.734860275	7.73307117	7.826739655	7.8507987475	7.79215680604167	8.4089785125	7.3523666189021e-07	7.3523666189021e-07	7.3523666189021e-07
Ot13g00290	7.233908482	7.58170686	7.434162992	7.369051775	7.433501715	7.80233068	7.269261419	7.570837406	8.026769946	7.871027812	7.495812021	8.005940617	7.722960443	8.202048981	7.774383938	8.115975808	8.207784083	8.086687116	8.222913619	8.149234169	8.516414902	7.811385526	7.9512315805	7.948847164	7.82517412727083	8.516414902	0.000165990164764911	1.59420065432995e-05	1.59420065432995e-05
Ot12g00910	7.690594125	8.212196382	7.948243392	7.922649552	8.798495715	8.833879008	8.240747323	8.610897297	9.090002902	7.483632634	7.80449526	7.952105561	7.362633158	7.439931189	7.142529171	7.165444779	7.180353108	6.86684877	7.372653066	7.37459428	7.479266435	7.40235241	7.442443428	7.250636891	7.75281774316667	9.090002902	6.65459784045836e-07	4.12924332016842e-08	4.12924332016842e-08
Ot17g01350	7.078319132	6.758880013	6.938322898	7.164864069	7.0477599905	7.191594584	7.27109211	7.274291831	7.289533128	7.41396301	7.962776107	8.194786966	6.989795729	7.14573932	7.180851513	6.750931145	7.11205783	7.453521156	7.677832307	7.773093255	7.885896361	7.450320141	7.042594312	7.108787372	7.29823351164583	8.194786966	0.534223079652115	0.534223079652115	0.534223079652115
Ot17g00180	5.942015055	4.790269417	4.850472018	7.401521991	6.979748848	7.151718928	8.281146917	7.704975382	7.782473675	8.690682615	8.553915183	8.776057938	7.983825393	7.90763367	8.13002819	6.821439961	6.700656482	7.225823819	5.43592987	4.776096957	4.858832352	5.667641383	4.548716566	4.673528556	6.73479796525	8.776057938	8.98587376588131e-07	8.98587376588131e-07	8.98587376588131e-07
Ot18g01250	7.35269125	7.91145503	8.302816792	7.836230343	8.786502456	8.702983657	7.634008597	8.403425251	9.216208571	6.644201553	6.502569048	7.596772789	6.473658061	6.294155458	6.546956909	6.20944561	6.241172396	6.332146086	6.528526862	6.885765079	6.960255586	7.182106588	7.719116889	7.658862679	7.33008473083333	9.216208571	0.00289418251630744	0.00289418251630744	0.00289418251630744
Ot18g00080	7.184874869	7.582287298	7.684318714	6.629930226	6.546634266	6.441624494	6.73833977	6.337188946	6.274865512	7.625999633	7.455563054	7.923816973	7.615095526	7.859097999	7.60014101	7.736112175	7.850941107	7.555950774	7.654090155	7.973190255	8.073256478	7.941802977	8.124498998	8.159927991	7.44039788333333	8.159927991	0.00133307183196779	0.00576725865262542	0.00576725865262542
Ot07g01100	7.174394068	7.590780308	7.653955206	7.062395061	7.59455873	7.678187678	7.576442272	7.603208444	7.817074439	7.590070617	7.425582064	7.500441397	7.596916954	7.649034418	7.462399897	6.992606924	7.666703389	7.542032603	7.503278234	7.878653621	7.81370809	7.317874784	7.716236547	7.785441529	7.54966571975	7.878653621	0.712002807411019	0.712002807411019	0.712002807411019
Ot07g03210	7.807105718	8.302375991	8.306829131	8.081055723	8.559732838	8.681305269	7.830418214	7.909740186	8.229395081	7.627892377	7.836437526	8.138901851	7.18915996	7.07633496	7.180002131	6.87908082	6.954142193	7.175499296	6.568506868	6.956306946	6.861612335	7.364270278	7.742414774	7.770886963	7.62622530954167	8.681305269	1.40725452318289e-06	1.40725452318289e-06	1.40725452318289e-06
Ot07g02560	6.8794389	7.379703597	7.428928224	6.927318362	7.393126277	7.501492126	7.656204768	7.805684352	7.563624528	7.860954001	7.927155125	8.365187809	7.987521625	8.335213691	8.218578965	8.134587498	8.490022068	7.970111478	7.624129383	7.724920563	7.99498446	7.410555172	7.314641248	7.400532653	7.720609036375	8.490022068	6.25746628275923e-07	6.25746628275923e-07	6.25746628275923e-07
Ot07g01660	7.058274622	7.175070757	7.150592614	7.007307291	7.605952243	7.627968346	7.816581982	NA	NA	6.781583734	7.829654401	7.92257627	3.140395692	2.173817823	2.408552585	1.650076634	1.926180057	1.92073894	3.506312522	3.657726599	3.5086834965	6.649678764	6.7062137875	6.5822048	5.35482472545455	7.92257627	0.00579331229611139	0.00579331229611139	0.00579331229611139
Ot07g00940	7.799499343	8.086243381	8.221056823	7.111506498	7.662502525	7.58574369	6.22395983	6.167013776	5.977319733	7.14104355	7.03885403	7.194347588	7.270342252	7.556814609	7.480200051	7.645119129	7.818760284	7.68150894	7.973824616	7.986005313	8.089138444	7.801467025	7.969411071	7.769834507	7.46881320866667	8.221056823	0.010806266040215	0.010806266040215	0.010806266040215
Ot08g00180	6.459856128	6.738231163	6.832234278	6.82686529	7.056014379	7.110896367	7.818002825	8.284769518	8.401135656	7.221540339	7.793037852	7.973463881	7.230100311	7.714368503	7.526399238	7.033907312	7.468633307	7.105522774	7.293035032	7.650333492	7.809616129	7.119780426	7.157042085	7.074484395	7.36246961166667	8.401135656	0.0347955044003343	0.0347955044003343	0.0347955044003343
Ot07g00150	7.752745754	8.040682217	8.125253429	7.767583045	8.028615895	8.133271387	6.882805194	7.014273165	7.09152011	6.884842416	6.816015085	6.98939859	6.635732946	6.789821525	6.648162236	6.829622711	6.883751866	6.991934118	6.66233939	6.681376255	6.597027953	7.416915667	7.864786147	7.790445227	7.22162176366667	8.133271387	0.0024249948662302	0.0024249948662302	0.0024249948662302
Ot07g01620	7.510810333	7.584817179	7.612919378	7.646019449	7.561808777	7.549323426	7.06316982	7.541938032	7.745966111	6.476669336	7.166655187	7.22880924	6.361510326	6.954270224	6.569123703	6.794220747	6.853489652	6.366915904	7.237025542	7.759047027	7.636664827	7.573561326	7.722024405	7.58836368	7.25438015129167	7.759047027	0.00330046958043101	0.00330046958043101	0.00330046958043101
Ot07g00900	7.820275477	7.795433538	7.797946295	7.86164915	8.194030626	8.247139747	8.231107981	8.467224669	8.475789286	7.664936042	7.705726052	7.831857781	7.562403758	7.380947343	7.38476121	7.449020362	7.364276353	7.477708368	6.838738975	6.610536592	6.685068111	7.372480837	7.193885118	7.441872658	7.618950680375	8.475789286	7.2668293626763e-07	7.2668293626763e-07	7.2668293626763e-07
