ID	LD00	LD04	LD08	LD12	LD16	LD20	LD24	LD28	LD32	LD36	LD40	LD44	LD48	LD52	LD56	LD60	LD64	LD68
244927_at	2.9	24	27.2	3	2.9	16.2	12.1	11	13.2	13.8	10.8	8.2	10.3	5.5	21.8	6.2	38.4	23.6
244928_s_at	35.3	45.4	33.5	28.7	37.8	38.8	31.6	36.5	23.1	31.2	37.1	34.8	39	45.7	48.1	39.6	57.3	62.1
244929_at	177.2	125.8	102.4	107.1	153.1	100.5	163	90.8	140.3	121.4	135.8	132	117.3	77.3	67.6	67.2	162.9	134.4
244930_at	5.8	11	6.7	4.3	9.6	7.6	3.8	5.6	4.4	6.2	7.8	2.3	6.3	3.2	11.9	11.9	11.6	14.4
244931_at	0.7	3.2	3	0.7	0.5	1.6	1.1	0.8	1.7	2.7	2.2	1.3	2.7	14.1	13.1	5.7	21.8	1
244932_at	100.5	124.3	18.9	73.1	34.3	57.8	117.7	149.4	143.5	206.5	137.3	124	702.4	931.2	593	334.8	511.7	635.1
244933_at	177	179	27.5	64.4	24.6	94.9	105.7	159.6	143.9	233.5	145.8	69.9	537.8	837.9	380.7	147.1	406.4	524.5
244934_at	69.2	104.2	18.7	56.5	14.6	51.8	41	51.7	40.2	95	63.4	49.1	355.6	582.5	465.2	172.8	441.5	433.9
244935_at	3030.3	2947.5	2737.1	2798.6	2659.5	2896.1	3332.8	2722.1	3189.5	3352	3435.4	3012.5	4941.8	4151.9	3799.2	3529.4	4766.4	4354
244936_at	1712.6	1841.4	1427.4	1261.4	1524.2	1574.1	2086.8	1367.2	1429.9	1685.1	1914.7	1284.1	2389.8	1712.4	1105.3	1022	1737.2	1692.3
244937_at	179.6	139.3	94.9	52.4	77.1	86.1	292.1	164.8	133.2	175.3	244.6	138.4	231.6	205.9	97.1	131.6	130.2	144.3
244938_at	203.9	184.4	124.6	156.8	144.9	141.6	167.5	145.5	132.2	212.6	167.8	152.6	214.6	152.6	232.7	168.9	342.7	229.5
244939_at	665.4	616.1	506	398.3	412.1	459.3	677.2	605.8	594.3	722.1	694.8	661.2	402.6	452.5	248.4	277.6	435.6	370.8
244940_at	2261.8	2108	1915	1717	1826.1	1956.2	2231.1	2194.5	1981.3	2285.6	2182.6	2241	2947.4	2646.2	1828.8	1618.5	2642.5	2777
244941_at	23	21.4	30.4	18.4	20	24	13.2	16.8	10.4	20	17.9	11.2	31.9	29.3	34.4	23.4	39	35.4
244942_at	1.2	7.7	10.4	3.2	1.6	1.8	2.3	0.9	1.1	1.4	0.9	2.7	2.9	3.4	20.4	7.4	2.3	13.2
244943_at	21.3	23	14.3	21.1	27.8	19.7	24.2	17.8	17.8	15.4	24.3	15	17.7	24.4	18.1	15	26.7	44.7
244944_s_at	112.8	148.6	119.6	131	138.4	114.8	104.8	86.3	83.6	96.8	122.6	73.3	186.1	162.7	139.1	151.2	185.2	172.1
244945_at	14.1	28.6	20.8	14.8	20.5	23.6	16.7	10.9	17.1	10.4	21.7	12.2	29.8	16.8	20.9	1.8	19.3	17.6
244946_at	4.1	17.9	7.2	10.1	10.8	12.5	17.1	14	20.2	17.1	6.2	11	20.7	38.8	46.1	34.3	47.4	36.5
244947_at	4.5	8.2	7.1	5.2	7	8.3	3.7	4	4	3.6	4.4	5.3	7.3	10.8	18.6	9.8	18.1	13.6
244948_at	6.3	8.1	2.8	8.2	1.3	4	3.2	1.3	5.6	0.9	7.4	1.7	14.4	8	3.6	1.6	7.7	2.5
244949_at	9	11.6	16.6	2	16.3	2.1	2	2	1.7	5	5.8	1.6	5.8	12.2	3.9	1.8	6.2	16.5
244950_at	2.4	1.5	1.4	6	5	7.5	3.4	3.6	3.4	3.4	1.2	7.1	18.4	4.3	1.2	8.8	3.6	3.4
244951_s_at	110.8	117.2	125	145.9	150.3	95.2	87.5	58.6	57.1	62.6	76.2	52.4	95	96.2	71.6	91.7	105.7	96.8
244952_at	9.1	11.3	3.9	2.5	11.1	11	7.2	9.2	4.1	5.6	9.3	6.4	12	13.4	7.1	17.8	12	11.2
244953_s_at	11.3	9.3	8.5	10.7	12.5	9.7	11	10.2	5.7	9.3	6.7	10.9	7.3	25.2	13.6	13.1	20.5	25.5
244954_s_at	0.5	0.4	0.2	0.4	0.4	0.3	0.5	0.3	0.5	0.4	0.2	0.7	0.4	0.6	0.7	1.4	0.4	0.6
244955_at	1.3	1.2	1.4	0.8	4.7	0.7	1	1.1	0.6	1.3	1.2	4.4	1.6	14.6	4.1	5.3	3.6	6.5
244956_s_at	12.9	18.2	7.8	8.9	12.5	17	15	9.8	6.7	7.4	10.4	16.8	25.7	12.3	12.1	16.8	14.5	20.9
244957_at	8.3	14.3	14.4	8.9	10	13.3	8.3	10.2	7.1	11	10.9	10.5	23.3	35.6	19.6	21.9	18.6	19
244958_at	10.4	11.1	4.6	10.6	13.3	14.2	2	0.6	1.6	6.8	0.8	6.1	15.8	3.7	20.4	8.1	18.9	22
244959_s_at	86.9	90.8	79.5	78.1	78.9	68.1	70.3	51.2	48.1	64.7	66.8	46.2	77.7	62	53.8	73.9	63.7	70
244960_at	1529.2	2182.3	1949.1	1283.8	1965.3	2155.1	1696.9	1574.1	1163.2	1726.6	2050.2	715.2	2142.1	1958	2124.7	1354.9	2153.6	2401.2
244961_at	2082.9	2118.1	2275.6	2086.7	2063.1	2180.8	2112.4	1626.6	1945	2088.8	2195.4	1745.1	3107.2	2569.1	2032.3	1952	3148.3	2952.6
244962_at	852.1	593.6	342	547.9	667.5	681.2	1071.4	654.2	865.7	982.6	940.6	701.9	2180.9	1853.9	1439.6	989.5	1827.1	2103.8
244963_at	1757.4	1242.3	1090.5	963.7	1064.5	1202.1	2279.4	1728.2	1768.1	1724.2	1908.5	1762	2560.4	2966.4	2194.2	1971.7	2451.3	2747.6
244964_at	1016.9	637.2	499.2	435.3	521.3	593.6	1349.3	817.3	959.7	882.8	1019.7	997.4	1419.1	1276.2	919.6	972	1051.8	1207.6
244965_at	986.5	915.7	953.3	847.5	1070	957.1	700.2	401.1	502.6	631.4	598.8	306.3	1056.6	1006.9	683.2	441.5	998.8	930
244966_at	96.3	117.9	34.9	63.4	38.4	80.8	84	106.9	110.7	148.1	102.9	81.4	204.8	330.2	190.5	63.7	143.8	248.1
244967_at	2325.4	3025.7	2842.5	2485.2	2707	2780.1	2819.2	2724	2271.8	2852	3006.9	2215	3835.6	3758	2746.6	2692.6	3066.8	3126.1
244968_at	1842.3	1283.6	1054.1	1230.9	1492.8	1392.5	2426.9	1750.7	1668.1	1494.1	1630	1809.9	2679.7	1347.4	1062.9	1265.2	1779	2568.4
244969_at	601.5	548.3	399.9	467.5	637.5	637	879.6	539.5	470.1	520.8	632.6	482.5	697.1	412.9	279.6	253.8	557.3	670.8
244970_at	211.5	195.3	111.7	182	151.9	160.5	189	140.6	160.9	200	188.3	165.2	537.3	469.1	424.6	297.2	661.6	595
244971_at	2133.6	1871.2	1546.8	1558.3	1590.8	1730.3	2375.1	1902.2	2032.3	2094.5	2145.5	2171.5	3966.1	3177.9	2569.4	2453.4	2808.9	3633.4
244972_at	187.6	154.5	48.3	61.9	49.4	83.3	265.9	209.1	166.5	296.5	286.7	190.6	663.7	1089.6	552.5	221.9	546.2	542.2
244973_at	232.3	221.8	91.8	112.4	129.5	178.7	278.8	199.7	182.5	287.9	280.1	121.4	324.1	645.2	386.5	138.9	409.8	459.6
244974_at	190.5	110.9	66.4	116.1	98.3	96.5	137	90.9	119.6	107.7	129	102.9	716.8	576.4	319.4	252.4	600.6	514.1
244975_at	1562.2	1488.9	1187.5	827.2	917.6	1197.2	2135.9	1609.1	1534.8	1699.8	2003.5	1728.6	1994.3	2055	1315.1	1189.6	1497.6	1510.1
244976_at	3011.5	3211.9	3069.8	2686.9	2739.5	3114.1	3481.8	3340.8	3321	3580.5	3532.7	3603.7	6627.4	6266.6	5467.3	4158.8	5875.5	5759.8
244977_at	21.5	27.9	17.3	17.4	12.1	23	10.4	25.9	21.7	25.6	17.5	27.3	79.4	142.8	96.8	53.6	74.9	83.7
244978_at	1555.2	1861.5	1935.6	1465.6	1690.8	2493.9	1639.8	1586.2	1493.1	1870.3	2569.5	1087.3	2208	2243.6	2543.2	1787.4	2779.7	3071.1
244979_at	2472.2	2144.7	1823.3	1797.2	1967.3	2650	3045.5	2897.8	2580.6	2850.5	2893.2	3199.5	4519	4210.5	3601.1	2336.8	4259.7	3810.4
244980_at	1869.1	1551.7	1131	1021.6	1123.5	1602.9	2284.8	2054.4	1818.5	1946	2142.6	2068.5	3267.6	2972.9	2490.3	1483	2977.9	3081.9
244981_at	1228.4	1000	623.4	517.1	617.5	1031.5	1850	1735.1	1257.1	1478.5	1484.4	1519.6	1974.2	2064.8	1245.7	838.8	1517	1807.5
244982_at	757.8	517.4	287	306.7	342.5	477.8	1186.7	1017.1	811.7	997.7	970.7	1030.9	1013.9	1079.7	667	454.1	800.7	881.9
244983_at	1908.7	2333.6	1935.2	2022.2	1869.8	1821.7	1800.8	1541.2	1225	1757.5	1895	1542.6	3934.3	3583.1	2310.5	2072.9	3275	2831.3
244984_at	1664.9	2035.9	1755.7	1817.7	1842.2	2274.6	2086	2147.4	1775.2	2127.5	2379.9	1437.3	2319.8	2765	1863.4	1585.9	2731	2978.3
244985_at	1654.7	1508.4	1318	1338.8	1331.1	1706.2	1842.9	2016	1854.6	1984.1	2313.9	2199.5	2428.3	1737.9	1915.6	1875.3	2724.2	2663.6
244986_at	2080.5	2242.2	2089.4	1934.9	1878.8	2262.7	2307.7	2143.8	1774.4	2388	2507.4	1797.6	2907.3	2423.1	2121	1335.6	2702.4	2922.6
244987_s_at	3473.8	3075.8	3149.6	3492.1	3084.5	3348.2	3670	3569.6	3580.9	3581.8	3794.9	4664.3	6757.5	5827.7	5442.5	4358	7300.1	6901
244988_s_at	2535.8	2266	2249.3	2101.3	2171.8	2512.6	2906.8	2552.2	2286.6	2661.6	2768.1	2222.3	4189.6	3046	2960.5	2233.6	4166	4579.7
244989_s_at	17.4	20.2	11.7	15.1	10	13.7	10	19.8	13.6	24	14.8	15.8	90.2	89.1	111.5	47.1	122.3	111.2
244990_s_at	22.4	27.9	4.8	12.5	4.1	20.6	9.3	27.7	20.5	32.9	27.7	16.8	114.9	128.9	165.1	54.1	189.8	181.8
244991_s_at	33.5	39.8	20.1	30.7	25	39.3	21.3	16.4	22.1	18.9	34	21.6	97.5	163.1	128.2	75.9	122.6	117
244992_s_at	3775.8	3511	3627.8	3548.5	3219.4	3534.2	4016.6	3706.5	3951.9	4007	3866.5	3933.6	6052.4	6125.4	4398.8	4555.7	7419.5	7332.2
244993_s_at	911.7	1076.4	863.3	909.6	662.6	811.1	1117.4	1115.4	1129.2	1372.7	1327.9	921.3	2017.5	1839.9	1723.7	1050.6	2141.2	1989
244994_at	24.6	58.9	13.9	17.4	14.4	28.6	22.6	29.5	28.4	32.3	51.6	14.7	58.9	111.3	63.2	31.7	51	63.3
244995_at	94	153.2	74.2	107.6	88.8	89.7	74.7	76.1	66.9	120.8	92.4	62.4	221.2	364	235.8	126.6	239	252.4
244996_at	913.9	1019.8	748.6	709.2	755.2	877.9	1400.3	1096.7	858.9	1202.5	1445.4	896	879.5	1068	667	454.1	876.1	1071.1
244997_at	611	575.4	408.5	415.9	516.9	614.2	788	655.6	448.5	624.2	790.7	697.9	291.8	274.8	175.9	166	414.4	376
244998_at	410.3	355.9	147.6	280.7	357.8	410.1	471.1	332.3	278.4	434.2	500.4	317.8	600.6	614.3	420.2	293	620.2	729.7
244999_at	20.3	14.8	1.1	4.1	3	11.9	6.6	19.8	11.1	25.7	20.9	20.2	130.5	316.1	161.5	65	104.3	136.6
245000_at	70.5	72.6	42.9	71.5	29.2	78	35	124.9	110.7	117.1	74.9	121.4	472.8	674.3	339.7	196.2	420.8	455.5
245001_at	3787.3	4086.1	4037.5	3947.2	3653.9	3565.9	4512	3537.3	3707.3	4056.8	3869.9	4597.3	5085.5	6558.6	6231.5	5868.7	5407.7	6416.1
245002_at	99.1	90.4	48.5	52.2	64.1	61.9	202	98.4	139.9	289.7	291.9	127	1022.2	1501.5	540.2	356.1	855.5	720.4
245003_at	909.3	812	486	558.1	639.7	559.2	1145.3	755.5	785.8	1209.8	1216.6	792.9	2865.7	3068.3	1477.2	1658.8	1875.9	2287
245004_at	1906	2051.1	1769.2	1612.2	1743.6	1861.6	2132.8	1863.4	1653.1	2008.8	2319.9	1567.4	2671.5	3463.9	2067.3	1776.8	3182.6	2960.8
245005_at	33	65.1	19.5	35.8	17.3	39.4	15.4	40.2	43.5	58.2	35.9	44.2	236.5	342.1	390.5	133	427	431.7
245006_at	3553.9	3463.2	3659.1	3708	3258.5	3392	3892	3492.2	3793.6	3925.6	3751.5	4254.8	10067	9785.8	8723.6	8045.5	10562.4	9447.6
245007_at	3035.5	1894.2	795.1	795.5	1397.8	1427	3379.1	3179.2	3131	3663.4	3667.1	4027.8	4821.5	5011.3	3748.1	3207.7	3961.4	3891.8
245008_at	507.6	444.4	268.8	237.6	230.2	399.3	592	507.1	367.2	585.6	584.4	506.6	1140.9	1273.9	818.3	426	1072.4	985.6
245009_at	2808.1	2678.1	2390.3	2589.2	2479.3	2613.4	2995.9	2632.2	2659.6	2855.1	2826.9	3215.1	3058.2	2405.4	1780	2245.6	3352.3	2957.9
245010_at	868.2	712.9	562.4	637.8	643.7	506.4	716.1	427.8	581.6	641.7	623.6	496	844.1	787.7	749.2	593.4	1026.5	877
245011_at	366.2	311.5	237.4	229.8	244.9	202	278.5	187.6	226.5	243	238.1	189.1	452.9	473.5	284.5	400.3	440.2	408.3
245012_at	1910.9	2296.3	2446.7	1897.2	1966.5	2310.9	2004.8	1957.7	1667.1	2081.4	2310.1	1343	3057.4	3341.8	2433.5	2309.8	2584.1	3319.9
245013_at	4130.2	3966.6	4107.6	4011.1	3741.1	3999.7	4260.5	3900.8	4331.8	4403.9	4381.8	4713	8509.3	8777.4	7515.2	7750.4	9265.6	9234.4
245014_at	4337.4	4182.7	4398.4	4325.9	4041.1	4261.4	4638.9	4424.4	4796.7	4809.5	4755.5	4968	9580.1	9352.1	7721.2	8441.4	9986.9	9562.1
245015_at	347.4	299.3	172.8	247.7	252.7	197.5	367.1	200.8	185.8	229.1	258.1	262.4	885.1	588.2	396.7	507.5	648.7	608.6
245016_at	332.6	362.4	235.3	201.3	170.8	208.5	377.6	228.6	231.4	295.2	331.6	225.6	992.4	772.8	456.8	565.2	599.4	656.6
245017_at	1240.3	1315.4	1041.7	982	939.4	1053.8	1439	884.8	918.3	1123	1281.5	829.8	2044.5	1896.3	1394.7	1445.6	2016.7	2072.2
245018_at	1554.9	1409.3	1056.4	1048.6	1275.5	1291.9	1798.8	1306.2	1255.5	1349.7	1613.3	1131	3026.8	2584.3	1578.3	2120.9	2503.2	2439.9
245019_at	2424	2395.7	2276.6	2142.2	2158.7	2286.1	2537.2	1927.2	1926	2181.5	2007.8	1846.4	3680.7	3200.7	2003	3239.5	2910	2846.1
245020_at	2127.4	2465.5	2491.7	2121.9	2119.2	2491.4	2323.8	2144.7	1976.5	2404.2	2613.7	1759	4374.9	3562.8	2122	3766.4	2813.9	2971.5
245021_at	1493.4	1284.7	1043.8	994.1	1136.2	1235.7	1975.9	1208.1	1401.1	1481.8	1568	1022.9	1939	1873.9	1765	952.3	1510.1	1999.6
245022_at	530.8	572.9	379.4	305.6	428.3	502.8	747.5	489.8	424.9	568	692.6	305.9	657.6	571.9	267.5	230.1	308.4	552.6
245023_at	1430.2	1534.3	1511.6	1261.6	1355.7	1390.8	1419.5	1126.2	1009.6	1269.2	1381.4	811.6	2485.7	2772.9	2029.8	764.7	2182.2	2332.7
245024_at	2140.1	1836.1	1445.2	1567.4	1600.4	1270.2	1959.7	1154.5	1329.8	1728.7	1728.1	1230.1	2671.6	2142.2	1112.4	1514.8	1792.9	1615.7
245025_at	783.3	620.1	408.9	378.1	420.8	357	737.2	360	398.6	563	622.7	372.7	1382.9	1146	630.1	719.3	859.2	942.5
245026_at	738	666	388.2	488.5	447.2	400.4	705	324.6	398.8	561.4	547.2	375.1	2493.2	2864.8	1675.1	1080.4	1489.8	1807.1
245027_at	104.2	108.5	122.2	100.3	115.6	122.1	111.9	137.1	117.3	118.1	131.5	121.7	128.6	90.8	96.2	77.5	107.6	104.7
245028_at	57.2	65.5	53	56.4	42.4	68.6	47.1	58.9	60	60.7	55.8	74.2	38.6	63.5	65.4	59.8	53.4	56.1
245029_at	76.1	65	87.8	93.4	110.2	105.7	62.2	92.6	83	81.3	64.1	72.4	50.7	44.9	56.7	77.3	86.1	59.5
245030_at	0.2	0.3	0.1	0.1	0.3	0.1	0.2	1	0.1	0.1	0.2	0.2	0.7	0.9	0.2	0.4	0.4	0.5
245031_at	15.2	25.7	23.7	20.3	25.9	26	26.6	24	25.4	29.5	21.7	16.1	17.1	36.4	21.3	32.9	31.7	24
245032_at	10.9	7.4	8.9	10.3	15.1	9.3	7.4	7.3	4.2	7.4	5.3	5.3	8.9	11.1	7.5	19.5	9.4	7.4
245033_at	0.8	5.8	2.2	3.4	2.4	1.9	1.2	2	0.9	1.1	1.3	1.3	2	7.4	1.8	9.1	3.3	1.9
245034_at	6.5	11.5	15.9	19	16.1	3.4	3.9	8.8	3.8	3.5	13.4	8.6	8.9	23.3	8.2	12.2	5	5.2
245035_at	78.3	104.6	86.3	197.9	89.9	135.8	70.1	71.5	165	64.6	66.8	64.6	147.6	285.9	155.3	308.8	174.4	203.3
245036_at	0.5	1.7	5.9	0.9	1.2	1.1	0.7	1	0.7	1.6	1.1	3.2	7.5	6.6	3.2	8.9	10	1.1
245037_at	7.7	8.5	10.4	4.6	9	8.4	6.3	7.9	4.4	8.3	1	6.8	6.2	8.8	8.3	16.3	5	16
245038_at	15.3	25.2	117.3	60.6	65.8	38.1	1.8	33.6	64.5	164.7	11.2	21.7	16.5	51.2	116.1	75.8	54.6	34.6
245039_at	88.6	113.5	104.4	87.7	96.2	109.5	88.7	99.5	98.5	105	103	75.1	106.6	122.7	107.3	90.4	107.1	119.7
245040_at	6.7	6.6	17.4	3.2	2.6	14	3.2	2.9	14.5	17.6	18.5	7.9	4	11.1	4.4	7.1	3.1	8.5
245041_at	49.9	55.6	61.1	36.7	50.8	55.8	32.1	26.7	31.2	32.5	36.8	31.1	45.6	36.4	42.2	31	50.4	41.4
245042_at	184.9	211.4	236.8	236	230.7	220.3	166.7	162.1	223.2	188.6	205.7	208.4	171.2	197.2	238.5	245.8	238.1	210.5
245043_at	171.9	90.4	93.6	77.2	121.3	144.7	129	98.1	68.8	76.9	84.6	115.7	104.6	67.8	68.3	74.1	90	87.3
245044_at	3669.2	3351	3569.6	3688.5	3374.9	3677.9	3710.2	3659.2	3704.7	3814.2	3632.7	3972.4	6878.6	5313.6	5565.5	6444.3	7073.1	7092
245045_at	151.4	193.9	145.9	172.6	166.3	139.1	143.9	159.3	188.6	169.3	197.4	199.7	159.8	118.2	153.8	171.4	160.6	152.7
245046_at	211.4	126.4	263.3	275.5	268.3	251.8	204.8	267.3	247.5	273.9	125	292.7	165.1	132.7	243.1	211.3	270.2	252.3
245047_at	482.7	322.9	283.4	299.7	347.4	334.7	564.1	366.2	445.5	588	494.7	422.6	1822.6	1655.3	1374.1	1265.9	1887.3	1833.3
245048_at	1446.3	1467	1143.4	1460.2	1582.9	1499.5	1965.2	1398.3	1266.8	1656.6	2061.6	1059.1	1431.9	1804.2	1148.1	1126.3	1492.8	1578.6
245049_at	273.6	366.1	259.2	270.5	301.8	244.2	318.2	216.4	229.2	272.7	314.8	175	393.8	571.4	403.5	279.3	402.8	415.5
245050_at	1595.1	1565.2	1391.6	1263.7	1219.8	1236	1757	1148.7	1261.1	1377.1	1458.4	1088	4729	4605.6	3219.9	887.2	3839.4	4032.9
245051_at	128.8	29.3	49.8	68.8	94	122.4	122	103	42.9	37.6	35	77.4	150.8	52.5	42.7	53.5	108.8	156.7
245052_at	30.6	76.6	139.6	173.1	84.3	40.3	25.1	73.5	116.6	167.3	51.3	36.8	19.7	84.3	173.5	137.2	66.3	42
245053_at	1.9	4.8	6	8.7	3.4	4.6	1.9	2.5	0.9	2.4	2.3	5.1	4.1	4.4	13.9	15.8	6.9	3.5
245054_at	35	52.4	46.7	46.7	42.1	47.5	36.3	46.3	33.9	43.5	45.3	37.2	35.6	40.3	52.4	45.7	56.9	48.1
245055_at	31.3	21.4	19.7	21.2	16.9	29.5	22.4	28.5	21.1	22.7	20.8	23.9	22.5	31.1	13.3	9.9	21.9	36.8
245056_at	5.6	13.8	25.7	20.3	11.1	14	9.4	11.1	11.9	13.3	10.1	14.8	21.2	25.2	24.9	45.9	12.7	11.9
245057_at	1.7	3.5	3.9	1.9	2.4	1.9	3	5.3	1.6	6.4	1.9	4.9	10.4	5.8	2.2	12	4.7	4.7
245058_at	0.7	1.1	0.7	1.1	1.3	1.2	0.9	0.9	0.7	1.2	1	0.6	1.2	7.3	0.8	1.7	1.9	2.1
245059_at	129.7	73.1	90.7	79.5	90.8	107.6	133	99.2	136.6	86.6	83.6	132.3	142.5	105.5	69.6	100.3	67.2	96.6
245060_at	423.4	332.8	220	324.3	383.6	323.1	323.1	405	367.7	171.2	260	388.7	553.1	395.9	336.5	538.4	579.7	530.2
245061_at	3381.6	3363.9	3156.2	2897.2	2816.6	3143.8	3692.3	3065.8	2942.8	3244.4	3765	3848.4	7780.1	7380.1	4827.4	4581.1	5751.5	7226.8
245062_at	144.3	120.9	124.7	135.2	141.9	147.5	125.2	156.9	128.5	128	165.6	155	118	112.6	119.1	111.3	149.7	146.1
245063_at	54.6	90.5	76.7	96.8	73.9	46.9	60.1	69.8	82.9	78.9	75	65.8	22.7	64.4	64.1	42.6	42	40.9
245064_at	21.8	18.3	34.7	39.3	33	28.9	9.5	20	24.7	32.2	22.3	17.7	17.4	26.6	36	35.6	40.1	28.9
245065_at	129.2	163.2	145.3	163.5	168.4	151.4	125.7	153.9	152.1	140.3	132.7	160.6	154.4	171.2	189.3	206.2	170.7	156.6
245066_at	109.2	135.3	131.4	125.2	118.5	110	118.7	106.8	124.4	116.4	125.2	105.3	147	169.3	156.6	157.5	123.6	148.2
245067_at	349.3	319.7	355.5	372	380.3	386	354	375.3	372.9	332.4	339.2	367.8	335	326.2	286	387.5	341.6	370.5
245068_at	1.6	2.8	2.1	1.6	1.4	0.8	1.4	1.5	1.2	1.3	1.8	1	1.8	4.4	14	13.9	4.8	2.2
245069_at	0.4	1.3	1.9	0.7	0.5	0.9	1.3	1.5	0.5	1	0.9	0.3	1.9	1.8	0.7	4.7	0.6	0.7
245070_at	1.1	1.2	1.2	1.3	2	2.5	2.2	0.9	1.4	0.8	1.9	3.3	0.9	0.7	1.3	2.1	1.8	1.7
245071_at	3.6	7.3	12.9	5.5	5.7	1.7	5.2	5.4	3.1	10.3	9.5	3.6	1.1	5.9	2.1	4.8	5.5	2.6
245072_s_at	15.1	9.8	3.9	6.8	1.5	11.3	9.1	7.9	1.2	7.3	11.8	6.5	14.7	12.3	0.9	1.8	1.1	3.9
245073_at	1.8	2.4	1.1	1.8	5.2	4.9	2	5.5	4.4	9.1	6.6	0.7	5	1	1.4	3.1	1.5	9.1
245074_at	48.7	79.8	33.6	85.5	37.3	82.1	27.8	52	101.4	82.9	33.7	47.1	87.9	92.5	77.5	79.8	39.8	52.7
245075_at	15.2	25.4	15	22.4	8.1	11.3	15.3	14.5	25.5	17.5	18	15.9	14	15.8	3	15.4	3.1	9.4
245076_at	16.1	24.6	12.2	12.4	11.9	7.4	13.9	5	8.9	18.8	33	10.8	6.5	13.3	22.4	3.5	18.9	14.2
245077_at	7.8	10.8	3.6	6.8	12.7	6.6	2	5.4	5.6	5	4.8	6.5	19.7	6.9	12.6	29.2	12.8	4.1
