Protein.Name	Gene.Name	Uniprot.ID	mRNA.ID	ZT00	ZT02	ZT04	ZT06	ZT08	ZT10	ZT12	ZT14	ZT16	ZT18	ZT20	ZT22	ZT24	ZT26	ZT28	ZT30	ZT32	ZT34	ZT36	ZT38	ZT40	ZT42	ZT44	ZT46
Apolipoprotein A-IV	Apoa4	P06728	1417761_at	9.715572185	9.837636648	9.335301555	9.308185548	9.274770997	9.428843238	8.681484728	9.731561737	9.501955929	9.596768091	9.716351313	8.964401225	9.939774281	9.671589212	9.584710518	9.447105805	9.451202023	9.424412688	11.06319379	10.17650832	10.20553617	9.631109548	9.865533813	9.931917262
Clusterin;Clusterin beta chain;Clusterin alpha chain	Clu	Q06890;E9Q8Y5;E9PXG5;E9PUU2;E9Q9B8;E9Q2G2	1437689_x_at	14.06420393	13.92151279	13.9819615	13.94320796	13.96409522	13.94138713	13.91507826	13.95187412	14.07662588	14.05311209	14.02784652	13.91380353	13.91882539	13.97784272	14.00597818	13.97996484	14.00950716	13.81793312	13.67841899	13.78272305	13.83517673	13.99418309	14.06778026	13.9340709
Cold shock domain-containing protein E1	Csde1	Q91W50;Q80TP8	1423997_at	10.45164481	10.72876415	10.55222319	10.84769362	10.934092	10.87454165	10.87250878	10.94177624	10.69201888	10.73659136	10.80321778	10.63284403	10.60159916	10.70862243	10.78794087	10.92528268	10.80721008	10.77219776	10.90811574	10.89542925	10.52914197	10.33387281	10.54273708	10.11413909
Gamma-aminobutyric acid receptor-associated protein-like 2	Gabarapl2	P60521	1441376_at	5.692936444	5.235686396	5.41169687	5.608827453	6.066102748	5.624126682	5.79558812	5.939516415	5.154946889	5.192033709	5.142863664	5.482441587	5.362274432	5.480741598	5.836587896	5.673703793	6.020665919	5.304807757	5.753969452	5.627794697	5.562090304	5.967257561	5.522806701	5.791870594
Ganglioside GM2 activator	Gm2a	Q60648	1448241_at	11.1372066	10.98470648	11.2620125	11.14722483	10.99229249	11.06950524	11.10222549	11.00777629	10.94744952	11.12078758	11.22157808	11.13504174	11.18823403	11.02938318	11.11136449	11.14838872	10.92498904	10.9100064	11.26898691	11.15349137	11.27957374	11.32881612	11.09210391	11.04915196
Glycogenin-1	Gyg;Gyg1	D3Z5N4;Q9R062	1448429_at	7.014790615	7.011167933	7.025652041	7.405819399	7.193429351	7.256924156	7.256669683	7.135063228	6.872898221	6.957097798	7.049535374	6.37291992	6.736897989	6.806457129	7.195549643	6.886928957	7.298514086	6.766400778	7.174861062	7.124026895	7.107473537	6.711395181	6.599789358	6.882893318
Heme-binding protein 1	Hebp1	E9QKH1;Q9R257	1418172_at	12.22080534	11.92838127	12.07278415	12.22151389	12.12700719	12.03491157	11.94072352	12.22957195	12.02966704	11.84997501	11.76570363	11.8064446	12.01705751	11.75631069	11.42982329	12.03960712	11.9154348	12.2065942	11.62480688	11.89240606	11.83501503	11.70263726	11.87908665	11.75995545
Apolipoprotein F	Apof	Q91V80	1418239_at	13.64510537	13.65118848	13.65142609	13.56264246	13.51066932	13.56134853	13.64078006	13.58886975	13.68603003	13.6158931	13.68770821	13.56187786	13.60510291	13.53977634	13.52063533	13.45699464	13.50050381	13.53758136	13.44145285	13.51855421	13.64101714	13.46257247	13.62112076	13.81188759
V-type proton ATPase catalytic subunit A	Atp6v1a	P50516;P50516-2;D3Z1B9;D3YWH3;D3YZ23	1450634_at	9.510994537	9.451807268	9.655208862	9.75126036	9.678466793	9.55240056	9.729751302	9.634976044	9.491547778	9.669855187	9.417191075	9.531217652	9.451779676	9.502592015	9.555999531	9.592657051	9.519715482	9.635939677	9.631875619	9.753153635	9.631541253	9.491917187	9.499372723	9.315467874
5-aminolevulinate synthase, nonspecific, mitochondrial	Alas1	Q8VC19;D6RGR8	1424126_at	10.09542123	9.84063391	10.63353487	9.365469961	12.41843012	13.01722235	13.20416854	12.18269838	11.99947008	11.85272594	11.24581463	11.80818301	11.24448379	9.972651954	10.45496163	10.40267687	12.81700694	12.78698893	12.66485263	12.21447915	12.22986988	12.35669189	11.35515461	11.85955276
TSC22 domain family protein 3	Tsc22d3	Q9Z2S7-3;Q9Z2S7;B1AVF2;Q9Z2S7-2	1420772_a_at	10.51047953	9.903260168	9.185214579	9.02314707	10.35370088	9.890473286	10.75104474	11.56182879	10.68913652	10.91379159	10.1504445	9.900489854	9.334492972	9.815466881	8.895858267	9.543168887	9.600397817	9.967882345	10.87886277	11.1670603	9.900642925	10.41612495	10.21908843	10.1615116
Transferrin receptor protein 1	Tfrc	Q62351;Q8C872	1452661_at	9.140210114	9.608608963	8.65600203	8.135119503	8.868916563	8.975527853	9.949164174	10.33940811	10.38723668	9.673978901	10.08035577	8.932329562	9.344305975	9.086045772	7.986632504	8.54434083	8.652192502	9.566069599	10.1307713	10.08380253	10.05034933	9.878105147	8.85800329	9.148755619
Interferon regulatory factor 5	Irf5	P56477;E9PWX5;E9Q5T2;F6Z6C6	1460231_at	7.420351661	7.142145854	7.40857266	7.498209991	7.067437582	7.12998857	7.263854954	6.937888815	6.975126278	7.362176746	7.612770904	7.470651772	7.551253575	7.557519425	7.524006641	7.483836222	7.226092834	7.084418115	7.165874766	7.387774289	7.243159136	7.15721341	7.129635397	7.45726513
Molybdenum cofactor sulfurase	Mocos	Q14CH1	1429352_at	9.902713102	9.869745409	9.904890323	9.794056301	9.418530109	9.181794534	9.467516376	9.278804658	9.56584871	9.466847814	9.846031167	9.966433909	10.00144332	9.888180739	9.889704641	9.84483396	9.366294834	9.418866175	9.410202419	9.415319252	9.78291276	9.784124735	9.779279245	9.929886042
Transportin-1	Tnpo1	Q8BFY9;Q8BFY9-2	1433585_at	9.703238705	9.514670653	9.481164417	10.01944848	9.990705683	10.03221519	9.472282922	9.519909053	9.448992311	9.551255329	9.394180421	9.579624052	9.255071091	9.758280526	9.943057751	9.904303448	10.0646287	9.461080649	9.521737408	9.409266966	9.594831259	9.417211607	9.715003461	9.545384421
Tripeptidyl-peptidase 2	Tpp2	Q64514-2	1421894_a_at	8.588088229	8.578252525	8.714634409	8.799866512	8.951187611	8.830365887	8.823981612	8.712589786	8.765101987	8.540118658	8.719567763	8.619805723	8.546329316	8.689444186	8.521254457	8.757554218	8.836421099	8.728546212	8.782661227	8.835414584	8.747084962	8.592869279	8.476899122	8.482642939
	Tsc22d2	E9Q7M2	1453012_at	4.632152972	4.445514574	4.574509095	5.313889442	5.769020302	5.881712575	4.66454252	5.162219604	4.825178752	4.754930197	4.028987252	4.598651939	4.128162052	4.572040837	4.715162304	5.029495873	6.180497156	5.316446243	5.199281454	4.882577943	4.9593417	4.853303149	5.525442646	4.844174187
Phosphatidate phosphatase LPIN1	Lpin1	Q91ZP3;E9QKQ5;Q91ZP3-2	1418288_at	8.523550879	8.666363917	8.669096316	9.083119005	10.54625027	11.45344731	11.60400648	11.78916579	9.477435988	9.530111895	8.451757551	8.063956221	8.529087167	9.128668607	9.056262784	8.92834033	10.91182053	11.8129457	11.68207273	10.92941496	10.53953313	9.006840843	9.208345967	8.420539101
Galectin-3-binding protein	Lgals3bp	Q07797;E9Q5X5	1448380_at	9.625295559	9.625015934	9.608062716	9.568347919	9.331016413	9.536752458	10.18746457	9.716365208	10.38100562	10.16849883	10.49462566	10.68143969	10.06493539	9.77055521	10.03987339	9.730030187	9.579093642	9.586096873	10.15373281	10.20939108	10.39735593	9.827904999	10.21685609	10.67204854
Death-associated protein 1	Dap	Q91XC8	1423790_at	11.92951197	11.65768448	11.49130131	11.41518391	11.27836078	11.36510804	11.64868867	11.55585992	12.03503504	11.72345977	12.02020183	11.90189944	11.67333014	11.57364989	11.57241764	11.54572309	11.62170156	11.70754071	11.68419794	11.82827084	11.73315308	11.49031844	11.60173074	11.48982577
Alpha-1-antitrypsin 1-4	Serpina1d	Q00897	1449321_x_at	12.84203574	12.80985872	12.72474904	12.83303731	12.57589497	12.64087504	12.4776548	12.57086058	12.40451352	12.7198459	12.86064774	12.67819532	12.80089816	13.06774032	12.95328797	12.73994348	12.79644891	12.55756661	12.68486796	12.91776655	12.50913255	12.9458362	13.09693418	12.90356943
T-complex protein 1 subunit theta	Cct8	P42932	1415785_a_at	10.39209377	10.39057793	10.52916041	10.52749467	10.46544497	10.40851472	10.52499326	10.72701949	10.61524854	10.59043301	10.67677475	10.30233695	10.26554867	10.45606269	10.28243494	10.46244826	10.5687381	10.50206769	10.58176803	10.73995949	10.54080611	10.3516556	10.44658284	10.08944465
Molybdopterin synthase catalytic subunit	Mocs2	Q9Z223;Q9Z223-1;E9PVP5;Q9Z223-3;E9PUX1	1424310_at	6.269466532	6.553211889	6.289920305	6.359836587	6.294684708	6.133408412	6.105313615	6.149842374	6.634421472	6.70523988	6.917018702	6.205286896	6.407723127	6.246543809	6.028479853	6.158061821	6.357093145	6.039864523	6.396374894	6.257514549	6.744140912	6.584958312	6.518622772	6.706235009
Coxsackievirus and adenovirus receptor homolog	Cxadr	P97792;P97792-2;P97792-3	1452391_at	4.965843611	5.259464751	5.497102633	5.355422382	5.061787024	4.909582543	4.932095589	5.323044901	5.197312919	5.438545888	5.864229102	5.266997795	5.078812809	5.003555337	4.98932195	5.130313602	4.75429478	4.761975609	5.120756995	5.418824044	5.635244546	5.392660313	5.151280123	5.284706069
Corticosteroid-binding globulin	Serpina6	Q06770;D3Z548	1448506_at	10.97539719	10.44359821	10.6700092	11.31098305	11.84627413	11.63585269	12.20733763	11.80299746	11.69932079	11.40232715	11.77268667	11.69141061	10.86945987	11.03348532	11.38329648	11.75225659	12.16383354	12.04917069	12.32676728	11.74953712	11.65638586	11.72171243	11.30159404	11.20656117
Alpha-1-antitrypsin 1-2	Serpina1b	P22599	1449321_x_at	12.84203574	12.80985872	12.72474904	12.83303731	12.57589497	12.64087504	12.4776548	12.57086058	12.40451352	12.7198459	12.86064774	12.67819532	12.80089816	13.06774032	12.95328797	12.73994348	12.79644891	12.55756661	12.68486796	12.91776655	12.50913255	12.9458362	13.09693418	12.90356943
Clathrin interactor 1	Clint1	Q5SUH6;Q5SUH7;Q99KN9;Q99KN9-2	1452152_at	10.36146969	10.44437573	10.37875601	10.24693235	10.03311695	9.971872646	10.05716373	10.33495845	10.12487475	10.02302111	10.68361442	10.18614423	10.34679296	10.39983777	10.10261451	10.18368389	9.997883493	9.983111907	9.999913341	10.0687325	9.945215644	9.85629605	10.00573381	10.08745965
Serum albumin	Alb	P07724	1425260_at	14.92603337	14.91144834	14.89308423	14.93336622	14.9480425	14.91567676	14.91958623	14.93274157	14.89207923	14.89093156	14.97165201	14.95947636	14.93215442	14.95103992	14.95406299	14.95058662	14.93274157	14.93188646	14.98846104	14.97970508	14.90582079	14.91676075	14.91823738	14.90515816
Tyrosine aminotransferase	Tat	Q8QZR1;D3Z307	1451557_at	12.82650263	12.95890768	12.29677011	12.3337902	12.70780303	12.31420823	12.84729871	13.38805453	13.04526107	13.17458288	13.20198784	12.40356835	13.00712406	12.4954995	12.00333238	12.7810258	12.33125434	12.97461491	13.51870676	13.45240311	12.36129613	12.6761938	12.73032459	12.41265408
Synaptosomal-associated protein 47	Snap47	Q8R570;Q8R570-2;B2FDF6;B2FDF7	1423745_at	10.38504974	10.14686907	10.31774609	10.16962139	10.06011508	10.05273293	10.28833178	10.01794382	10.38431198	10.35906988	10.31618032	10.11311444	10.34552398	10.28090354	10.3799179	10.23810804	10.29906553	10.45314323	10.21267778	10.3097148	10.17197655	10.35355859	10.40156038	10.35266525
	Akr1c14	Q91WT7	1418979_at	11.59640322	11.96819025	11.87224378	12.34523542	12.76689173	12.654565	12.74890558	12.59056224	12.27849817	12.57418292	11.77654743	11.81756646	12.04845425	12.27290718	12.29358519	12.4826856	12.65378341	12.43068177	12.73162995	12.71903676	12.5289858	12.56776043	12.66457165	11.92373728
Perilipin-2	Plin2	P43883;B1AXR5;B1AXR3	1448318_at	12.49612307	12.67933356	12.7417169	12.63233196	12.22910333	12.39599846	11.71704635	11.90064585	12.13175021	12.32854907	12.904768	12.67033035	12.71685767	12.71848948	12.88206074	12.47232609	12.51629885	12.27498861	12.070036	12.11338563	12.24965496	12.33786728	12.57217709	12.58319003
Transmembrane 9 superfamily member 2	Tm9sf2	E9Q0K1;P58021;E9PZ69	1423295_at	9.112766926	9.28501765	9.353614711	9.249547365	9.323353386	9.350071358	9.339085767	9.555898448	9.312095832	9.43207371	9.380398508	9.099027889	8.888672228	9.366826338	9.227613656	9.178715763	9.441500294	9.167860705	9.361750697	9.436764952	9.552201789	9.550630312	9.731583788	9.434274127
Collagen alpha-2(IV) chain;Canstatin	Col4a2	P08122;D3YV27	1424051_at	7.809316181	8.001925589	7.993135385	8.01131833	7.767542386	7.853663938	7.485024674	7.523781437	7.774316157	7.267833182	8.021137809	7.69629591	8.075750175	8.376254721	8.466132769	8.293432567	8.164840363	8.401249022	8.47589083	8.442470965	8.352350001	7.445968369	7.739478414	7.902537853
Leukotriene-B4 omega-hydroxylase 3	Cyp4f14	Q9EP75;G3UW81	1419559_at	11.63176109	11.52940405	11.73967853	11.69099538	11.63056666	11.46947235	11.684984	11.54349735	11.60012315	11.40193851	11.62485544	11.94593426	11.72743044	11.8571517	11.74595634	11.76328758	11.61766162	11.72512198	11.72074941	11.77052729	11.61519695	11.49337553	11.24959369	11.47916832
ATP-citrate synthase	Acly	Q3V117;Q91V92;Q3TS02	1439459_x_at	12.30855889	12.18240216	11.82804864	11.65535274	11.59225659	11.64511678	11.81652739	13.30659633	11.83616045	12.25114073	12.86654026	11.86915792	11.87242932	11.8895247	11.46496562	11.43170963	11.83830715	12.27290717	12.50226078	12.86922261	12.45087343	12.10145332	11.96967986	12.28348513
Kalirin	Kalrn	A2CG49-7;A2CG49;E9QN83;A2CG49-2;F6QYT9;A2CG49-8;A2CG49-9;B1B1A7;Q0KL02-2;E9QL39;D3Z4R2;A2CG49-5;D3Z559;D3Z560;D3Z535;D3Z532;A2CG49-6;E9QN03;D3Z534;A2CG49-4	1442554_s_at	6.830275406	6.883643796	7.00581968	6.756066856	7.071212305	7.112953591	6.870903506	7.267448788	7.253511456	7.036301257	6.482644888	6.752941959	6.531042417	6.254386367	6.609762737	6.876941576	7.38940999	7.127212539	7.088618421	7.527959023	7.345792348	7.375114913	6.942252088	7.041912312
Protein S100-A9	S100a9	P31725	1448756_at	8.506476349	8.310339421	7.075495572	6.054253833	6.298010126	5.887729705	6.215164167	5.003938218	7.951180697	7.724468046	8.581971168	7.040170228	6.324378233	6.058893311	5.992573305	6.210915948	6.617444867	5.84439154	4.758334024	5.189473006	6.066717602	6.554836114	7.357105456	6.654557528
Tubulin beta-2A chain;Tubulin beta-2B chain	Tubb2a;Tubb2b	Q7TMM9;Q9CWF2	1427838_at	6.610063736	6.367313143	6.430470671	5.823259396	5.295375228	5.57278909	5.598071477	5.8417143	5.608931127	6.05369791	6.747680473	7.058999263	6.863433952	6.542146431	6.209246023	6.053583754	5.261633509	5.594804802	5.57980444	6.120484167	5.997557209	6.675070921	6.717014171	7.266959125
	Golgb1	E9PVZ8;E9QAH1;B7ZNF9;Q9CTU9;E9Q028	1435032_at	7.919499429	8.291699252	8.154062907	8.323334285	8.346474614	8.435762753	8.162612216	8.016680752	8.328951542	7.786346505	8.197318101	7.933298419	8.268639773	8.224033479	8.304946679	8.507663201	8.571816195	8.664738273	8.079710804	8.202955696	8.11850302	7.988797884	8.229026823	8.09088659
Antithrombin-III	Serpinc1	P32261	1417909_at	14.2632317	14.18468064	14.22899766	14.22406892	14.22849419	14.23764063	14.2345673	14.19355298	14.23577115	14.17773805	14.20942294	14.19400998	14.19238843	14.2120642	14.17435561	14.20914809	14.19957177	14.15723195	14.19912603	14.18420279	14.16188581	14.15541366	14.23073996	14.1652053
Scaffold attachment factor B1	Safb	D3YXK2;E9PZM6	1454415_at	4.265792669	4.284266772	4.520842829	4.353204701	4.360744569	4.22324285	4.197205658	4.384825035	4.310802839	4.493789584	4.294667776	4.668664228	4.71524977	4.33884086	4.568688106	4.461804728	4.350283978	4.62594333	4.401408126	4.287691867	4.245099637	4.510344235	4.62259414	4.574653272
Poly [ADP-ribose] polymerase 1	Parp1	Q921K2;P11103;P11103-2	1435368_a_at	7.973491154	7.983069682	8.125989065	8.249718227	8.317055457	8.001304641	8.03668004	8.422318753	8.265662985	7.989654188	8.023119538	7.43088121	7.576271497	8.112201419	7.847941417	7.766808593	7.955596163	7.809974714	8.071198106	8.159903972	8.155263467	8.199617782	8.204029885	8.304351943
Insulin-like growth factor-binding protein 7	Igfbp7	E9Q5D9;F8WH23;Q61581;F8WII5	1423585_at	5.463999648	5.242684021	5.488559137	5.507422204	5.519843216	5.595137915	5.33885595	5.314369474	5.462449641	5.323699158	5.413564605	5.4756551	5.101990095	5.536655235	5.486137377	5.544678434	5.508819081	5.066464069	5.112265139	5.445486274	5.184675621	5.277018962	5.286824779	5.461855896
	Gm20425	E9Q035;F7BAE9;F7CJN9;P47758;E9Q2Q7;E9Q939	1421012_at	7.191904924	7.248159141	7.119668984	6.567980215	7.247479584	7.255625069	7.207868176	7.733426346	7.313350505	7.166925337	6.978446106	7.252108338	7.448001055	7.398415127	6.874028916	7.124645576	7.198278956	7.076730804	7.672323082	7.661559974	7.55041264	7.388051818	7.275798819	7.233984169
Apolipoprotein E	Apoe	P08226;G3UWN5;E9Q327;G3UZM8	1432466_a_at	14.50515791	14.48875637	14.53409659	14.59090298	14.54179386	14.55231182	14.56474368	14.54194861	14.47156125	14.50140515	14.54567004	14.59673146	14.53261701	14.51710124	14.52292436	14.59792109	14.56962284	14.58563897	14.46983319	14.49818132	14.4593333	14.59123854	14.53244849	14.51495995
Murinoglobulin-1	Mug1	P28665	1417835_at	13.30946115	13.4343486	13.27294065	13.38023863	13.35083543	13.40304101	13.25475992	13.33144667	12.97689189	13.37799305	13.2861267	13.35659343	13.55705943	13.63112318	13.6045387	13.56461966	13.38601703	13.48796918	13.00453834	13.25839416	12.92607729	13.33549916	13.42344435	13.22557907
Fibroblast growth factor 1	Fgf1	P61148;D3Z6E2;D6RCX9;D3Z6H1;D3Z192	1423136_at	9.700922429	9.2555152	9.30146169	9.357745745	9.415019569	9.431556993	9.561359205	9.70942059	10.06109813	9.913671556	9.741841383	9.5439113	9.371495214	9.33258684	9.372515253	9.27186977	9.586463135	9.700842775	10.0917114	9.974380339	9.880181342	10.09411361	9.800488845	9.569056639
Oxidoreductase HTATIP2	Htatip2	Q99KN6;Q9Z2G9;Q9Z2G9-2	1451814_a_at	9.556709784	9.290539369	9.437464591	9.674205567	9.494480022	9.605108947	9.848476402	9.539349553	9.831384195	9.261565589	9.765419957	10.04326613	9.44845668	9.586568796	9.434327225	9.669799584	9.440478785	9.355543185	9.920072001	9.579908468	10.37471793	10.0427095	9.630451071	9.692643858
UBX domain-containing protein 7	Ubxn7	G5E8R8;Q6P5G6	1435912_at	6.966091508	6.36116396	6.494255576	6.770686224	6.881952128	7.142374602	6.44061472	6.743772422	6.436331079	6.639712806	5.682192435	6.7488186	6.417221363	6.40565751	6.629628564	6.57814673	7.067948628	6.745025943	6.654344451	6.685423837	6.863239615	6.380683101	6.591229065	6.5660996
40S ribosomal protein S6	Rps6;Rps6-ps1	P62754;D3Z6N6	1437246_x_at	10.73501641	10.72346485	10.61554003	10.55434419	10.68661744	10.67305371	10.74246161	10.79995666	10.72912723	10.72969709	10.82174374	10.64602424	10.70428133	10.6377002	10.62500357	10.70818309	10.69517641	10.64358836	10.64368272	10.71072025	10.80781181	10.89291911	10.93029635	10.83377844
N-acetylglucosamine-6-sulfatase	Gns	Q8BFR4	1446861_at	5.936381933	6.73219564	6.955370533	7.251870041	6.986735286	7.167213277	6.660841153	6.589658264	6.284500853	6.026400264	6.576891433	6.135293819	6.851118094	6.812427806	7.346337044	6.939503932	6.88466434	6.864907985	6.340342946	6.223103364	6.784201804	5.884051518	6.155099184	6.169598027
14-3-3 protein beta/alpha;14-3-3 protein beta/alpha, N-terminally processed	Ywhab	Q9CQV8;Q9CQV8-2;A2A5N1	1420879_a_at	9.961493108	9.941797731	9.903356748	9.917477564	9.972803991	10.05391986	10.28231611	10.20801459	10.24604442	10.08211239	10.23010186	10.23456196	9.961493108	10.05212347	10.0881077	10.12264229	10.03363025	10.21393566	10.2619114	10.17796468	10.25518594	10.18556885	10.05885414	10.15787083
Histidine-rich glycoprotein	Hrg	Q9ESB3	1449242_s_at	13.40796342	13.26645385	13.24259309	13.28398368	13.32222213	13.36768464	13.35894373	13.36400602	13.36309202	13.32847162	13.39468969	13.38796867	13.33019361	13.34868903	13.44682651	13.37031558	13.48951818	13.42205734	13.05745683	13.19910249	13.09223535	13.25118745	13.31584553	13.15472568
Chaperone activity of bc1 complex-like, mitochondrial	Adck3	Q60936;F7B1B6;Q60936-2;E0CXR1;E0CYC1;E0CXR6;E0CXT4;E0CZ05;E0CYG7;E0CYT4;E0CYD3;F6T0A8;E0CXI5	1417066_at	11.24858734	10.99242423	11.17789484	11.00550965	10.07218201	9.748468077	9.429490677	9.7732172	10.03809354	10.33500653	10.91118811	10.95286574	11.24508577	11.10974287	10.69166299	11.00469998	9.942318976	9.894386749	9.679676712	9.767804064	10.29425461	10.53012637	10.73398952	10.80278621
Torsin-1A-interacting protein 2	Tor1aip2	Q8BYU6	1418115_s_at	10.70292768	10.66918707	10.77129603	10.54512091	10.41982488	10.20923413	10.50362627	10.41184178	10.60082277	10.66700749	10.78438335	10.7722472	10.95390663	10.74494777	10.65396529	10.77649701	10.39862124	10.45728178	10.46445742	10.42208321	10.56374623	10.31658123	10.44671839	10.66522765
Alpha-mannosidase 2	Man2a1	P27046;F6QMB7;Q8BRK9;Q8BRK9-2;Q9WU23	1448647_at	10.46311425	10.31322232	10.2706936	10.30755338	10.67925756	10.6050726	10.77587586	10.78352228	10.71419181	10.6735621	10.25722239	10.34243574	10.11863494	10.27339166	10.37190335	10.31829856	10.76259405	10.72186906	10.52649128	10.59878217	10.50312009	10.47360314	10.52549707	10.16038375
Apolipoprotein A-V	Apoa5	Q8C7G5	1417610_at	12.9170946	12.71243244	12.95991615	12.9382209	13.2118326	13.25062632	13.1980376	13.2228282	13.28051623	13.01848193	12.73810926	13.08612084	13.03327376	13.09274637	13.01491827	12.93434881	13.175126	13.28446109	13.2211358	13.09691144	13.11599391	13.18870263	13.24988064	13.00896605
Cathepsin L1;Cathepsin L1 heavy chain;Cathepsin L1 light chain	Ctsl1	P06797;E9Q6H1	1451310_a_at	13.35084242	13.3378189	13.21394697	13.30596079	13.106882	13.18438072	13.18564773	13.13638092	13.15569239	13.10836293	13.26538807	13.1051226	13.18263142	13.20106255	13.18104447	13.24866688	13.23074093	13.12168368	12.9588771	13.05695254	13.04065847	12.79949559	13.03184444	12.97019681
Inosine-5-monophosphate dehydrogenase 2	Impdh2	P24547	1415852_at	9.76110289	9.625611586	9.708113817	9.554826721	9.599948917	9.677106397	9.748956787	9.921022687	9.790799868	9.807772449	9.900687914	9.541856444	9.489796774	9.547717206	9.389502432	9.569854034	9.679239781	9.674735068	9.510714914	9.760875679	9.76488418	9.808289146	9.78115358	9.588126088
Thioredoxin domain-containing protein 15	Txndc15	Q6P6J9	1428256_at	11.53202626	11.35486385	11.48873095	11.44950615	11.41890079	11.32127424	11.25159321	11.26605861	11.34706898	11.43843664	11.37768149	11.43227978	11.47397563	11.49843414	11.42782584	11.61470473	11.36430983	11.21768467	11.30687298	11.19582541	11.38316684	11.57070709	11.58915675	11.33744331
