ID	LD00	LD04	LD08	LD12	LD16	LD20	LD24	LD28	LD32	LD36	LD40	LD44
ATCG00360	231.75	205.11	134.62	146.28	135.02	139.75	134.33	136.23	171.9	102.99	68.38	207.2
ATCG00380	4166.9	3195.19	3410.15	3030.41	3370.7	2793.84	3202.82	3259.28	3475.03	2902.38	2791.82	3395.85
ATCG00420	1266.85	767.88	606.59	678.45	609.71	658.47	697.36	714.49	589.07	485.36	527.21	808.1
ATCG00430	442.58	270.81	136.16	143.62	170.78	173.06	210.2	210.71	167.65	101.61	155.75	286.6
ATCG00480	9160.23	8813.13	9025.08	9075.8	9265.92	9662.88	8999.62	8618.51	9714.77	8745.68	8607.92	9846.02
ATCG00490	363	307.02	104.1	108.15	217.86	450.09	446.24	256.37	176.21	113.08	344.12	595.58
ATCG00500	1988.13	1173.8	944.94	1033.11	1126.75	1040.86	1435.69	805.22	1124.72	677.66	883.76	1357.79
ATCG00510	3738.46	2609.78	2733.04	2654.44	2759.13	2741.22	3095.75	2443.39	2109.43	2355.08	2378.18	2936.41
ATCG00520	1221.79	2439.31	817.93	688.14	780.13	728.08	877.13	754.16	1346.08	1370.28	1482.25	1427.22
ATCG00530	1381.22	1970.07	1183.15	1012.25	1180.99	998.11	783.06	847.28	1722.88	2000.01	1297.85	1594.88
ATCG00540	1921.56	3193.54	2110.59	1419.26	2192.25	1670.58	1557.67	1655.72	3067.35	3185.68	3196.61	2905.91
ATCG00120	2037.67	1504.6	1629.52	893.4	1082.56	1435.55	1146.04	755.47	773.84	631.56	2188.25	938.66
ATCG00130	1134.15	674.53	1060.9	855.36	1066.52	1140.85	884.48	730.42	908.34	770.19	953.84	741.34
ATCG00140	1905.3	968.78	1301.34	1390.31	1669.66	1543.74	1444.55	1087.84	984.68	905.85	1365.84	1355.69
AT2G26550	45.94	36.04	60.5	35.89	53.29	50.23	41.27	41.25	46.3	47.94	41.03	63.81
AT2G26550	45.94	36.04	60.5	35.89	53.29	50.23	41.27	41.25	46.3	47.94	41.03	63.81
AT2G26550	45.94	36.04	60.5	35.89	53.29	50.23	41.27	41.25	46.3	47.94	41.03	63.81
AT2G26550	45.94	36.04	60.5	35.89	53.29	50.23	41.27	41.25	46.3	47.94	41.03	63.81
AT2G26570	194.63	214.13	170.4	168.67	66.35	113.88	172.65	269.96	277.39	144.15	162.21	152.61
AT2G26570	194.63	214.13	170.4	168.67	66.35	113.88	172.65	269.96	277.39	144.15	162.21	152.61
AT2G26580	187.18	114.06	232.51	280.61	214.91	279.58	134.8	159.74	183.23	219.48	265.73	282.72
AT2G26580	187.18	114.06	232.51	280.61	214.91	279.58	134.8	159.74	183.23	219.48	265.73	282.72
AT2G26620	3.22	4.06	4.48	3.82	3.76	3.79	4.66	4.02	4.05	4.77	4.42	3.84
AT2G26360	6.5	5.86	7.31	5.72	7.03	6.47	9.42	7.45	7.73	6.83	6.99	8.09
AT2G26380	4.18	4.2	3.85	4.36	4.55	4.13	3.88	4.08	4.22	3.57	4.37	3.63
AT2G26390	5.62	4.99	6	6.81	6.24	6.55	4.92	5.62	5.81	5.45	5.37	4.83
AT2G26400	10.58	11.09	10.88	7.68	6.61	8.39	8.18	9.56	10.76	6.74	8.05	7.24
AT2G26400	10.58	11.09	10.88	7.68	6.61	8.39	8.18	9.56	10.76	6.74	8.05	7.24
AT2G26400	10.58	11.09	10.88	7.68	6.61	8.39	8.18	9.56	10.76	6.74	8.05	7.24
AT2G26400	10.58	11.09	10.88	7.68	6.61	8.39	8.18	9.56	10.76	6.74	8.05	7.24
AT2G26410	5.08	5.27	6.92	5.89	5.03	6.07	4.59	6.26	6.36	4.74	4.7	6.36
AT2G26410	5.08	5.27	6.92	5.89	5.03	6.07	4.59	6.26	6.36	4.74	4.7	6.36
AT2G26420	4.2	3.83	4.08	3.6	4.86	3.79	3.59	3.06	4.69	3.66	4.5	3.16
AT2G26420	4.2	3.83	4.08	3.6	4.86	3.79	3.59	3.06	4.69	3.66	4.5	3.16
AT2G26420	4.2	3.83	4.08	3.6	4.86	3.79	3.59	3.06	4.69	3.66	4.5	3.16
AT2G26560	222.57	21.16	216.45	25.3	82.71	180.88	206.86	40.92	87.34	21.08	118.52	110.8
AT2G26600	159.26	124.83	114.7	74.47	146.31	110.7	149.14	104.64	141.63	112.78	192.11	137.2
AT2G26600	159.26	124.83	114.7	74.47	146.31	110.7	149.14	104.64	141.63	112.78	192.11	137.2
AT2G26520	5.73	7.63	6.05	5.84	7.61	5.7	6.11	6.33	5.31	6.9	5.73	5.63
AT2G26530	47.86	65.51	127.75	22.1	57.62	77.02	70.65	76.41	58.75	38.92	113.85	50.95
AT2G26530	47.86	65.51	127.75	22.1	57.62	77.02	70.65	76.41	58.75	38.92	113.85	50.95
AT2G26540	52.33	98.03	96.09	154.15	87.5	75.42	71.2	132.43	178.73	114.75	76.67	100.19
AT2G26540	52.33	98.03	96.09	154.15	87.5	75.42	71.2	132.43	178.73	114.75	76.67	100.19
AT2G26540	52.33	98.03	96.09	154.15	87.5	75.42	71.2	132.43	178.73	114.75	76.67	100.19
AT2G26430	123.62	103.09	136.93	92.53	118.05	124.15	113.02	105.42	106.71	119.18	160.03	112.26
AT2G26430	123.62	103.09	136.93	92.53	118.05	124.15	113.02	105.42	106.71	119.18	160.03	112.26
AT2G26430	123.62	103.09	136.93	92.53	118.05	124.15	113.02	105.42	106.71	119.18	160.03	112.26
AT2G26430	123.62	103.09	136.93	92.53	118.05	124.15	113.02	105.42	106.71	119.18	160.03	112.26
AT2G26500	6835.5	6141.95	6310.52	7145.28	6623.23	7269.06	6597.06	5794.31	5774.82	6536.4	6850.99	6697.55
AT2G26500	6835.5	6141.95	6310.52	7145.28	6623.23	7269.06	6597.06	5794.31	5774.82	6536.4	6850.99	6697.55
AT2G26500	6835.5	6141.95	6310.52	7145.28	6623.23	7269.06	6597.06	5794.31	5774.82	6536.4	6850.99	6697.55
AT2G26590	277.96	247.24	262.76	260.45	308.86	381.35	321.68	316.36	242.07	257.57	306.7	368.74
AT2G26590	277.96	247.24	262.76	260.45	308.86	381.35	321.68	316.36	242.07	257.57	306.7	368.74
AT2G26590	277.96	247.24	262.76	260.45	308.86	381.35	321.68	316.36	242.07	257.57	306.7	368.74
AT2G26590	277.96	247.24	262.76	260.45	308.86	381.35	321.68	316.36	242.07	257.57	306.7	368.74
AT2G26510	216.2	159.11	409.69	377.93	335.98	393.31	311.11	177.75	366.12	359.78	320.84	334.98
AT2G26510	216.2	159.11	409.69	377.93	335.98	393.31	311.11	177.75	366.12	359.78	320.84	334.98
AT2G26510	216.2	159.11	409.69	377.93	335.98	393.31	311.11	177.75	366.12	359.78	320.84	334.98
ATCG00020	1618.25	4691.58	737.89	1030.46	800.07	2039.68	999.23	516.59	1993.63	1112.66	2359.83	3088.24
ATCG00040	4527.72	3045.73	3377.19	3438.45	4080.78	3585.81	3535.09	3506.61	3407.94	2928.89	2955.74	3776.22
ATCG00050	129.72	230.32	143.15	103.17	165.86	128.36	79.18	128.65	63.22	148.3	129.04	179.42
ATCG00070	1189.14	1482.62	961.39	550.18	924.63	760.26	678.82	551.18	740.7	425.77	782.61	815.58
AT2G23320	152.28	107.52	152.88	95.25	201.55	184.41	163.32	85.44	113.89	146.83	405.82	174.43
AT2G23320	152.28	107.52	152.88	95.25	201.55	184.41	163.32	85.44	113.89	146.83	405.82	174.43
AT2G26440	5.78	22.99	52.41	23.35	53.03	10.51	5.55	15.04	70.63	40.35	22.95	17.64
AT2G26450	7.13	6.7	6.31	7.39	6.16	6.58	6.11	6.36	6.78	5.54	6.68	6.37
AT2G26460	13.7	22.83	15.99	18.83	12.68	17.57	24.19	27.44	15.45	17.53	15.32	19.8
AT2G26470	10.6	7.46	6.93	9.14	9.41	10	9.97	7.67	6.65	11.56	11.7	10.62
AT2G26470	10.6	7.46	6.93	9.14	9.41	10	9.97	7.67	6.65	11.56	11.7	10.62
AT2G26480	7.89	4.4	5.39	5.23	5.7	7.16	7.25	5.23	5.43	4.8	5.04	5.27
AT2G26490	4.22	3.33	3.98	4.93	3.52	4.28	3.24	3.36	3.85	3.24	3.47	3.5
AT2G39790	3.27	3.3	3.53	4.6	4.16	3.75	3.87	3.73	4.11	3.48	3.56	3.14
AT2G39720	210.84	242.35	195.86	161.57	246.87	198.98	269.76	216.28	178.31	206.48	260.55	200.38
AT2G39720	210.84	242.35	195.86	161.57	246.87	198.98	269.76	216.28	178.31	206.48	260.55	200.38
AT2G39770	1265.78	956.61	901.47	940.88	1008.74	1012.73	1088.36	1022.46	973.34	937.68	1052.74	1017.09
AT2G39770	1265.78	956.61	901.47	940.88	1008.74	1012.73	1088.36	1022.46	973.34	937.68	1052.74	1017.09
AT2G39770	1265.78	956.61	901.47	940.88	1008.74	1012.73	1088.36	1022.46	973.34	937.68	1052.74	1017.09
AT2G39730	6895.99	7700.58	7083.27	6662.28	6781.96	6432.87	6135.01	9077.85	7832.49	5472.13	6777.25	6444.97
AT2G39730	6895.99	7700.58	7083.27	6662.28	6781.96	6432.87	6135.01	9077.85	7832.49	5472.13	6777.25	6444.97
AT2G39730	6895.99	7700.58	7083.27	6662.28	6781.96	6432.87	6135.01	9077.85	7832.49	5472.13	6777.25	6444.97
AT2G39760	223.52	211.53	254.71	215.8	206.32	281.08	212.48	177.14	191.7	212.02	202.97	215.92
AT2G39760	223.52	211.53	254.71	215.8	206.32	281.08	212.48	177.14	191.7	212.02	202.97	215.92
AT2G39760	223.52	211.53	254.71	215.8	206.32	281.08	212.48	177.14	191.7	212.02	202.97	215.92
AT2G39760	223.52	211.53	254.71	215.8	206.32	281.08	212.48	177.14	191.7	212.02	202.97	215.92
AT2G39795	84.54	56.22	70.69	77.29	67.67	121.96	93.83	39.83	68.36	139.82	99.82	156.07
AT2G39725	21	17.62	32.1	27.28	41.16	26.05	23.93	16.88	23.47	29.46	29.97	28.57
AT2G39725	21	17.62	32.1	27.28	41.16	26.05	23.93	16.88	23.47	29.46	29.97	28.57
AT2G39750	165.81	245.33	235.91	238.69	130.23	188.95	177.84	292.46	246.27	267.4	292.51	212.85
AT2G39840	148.56	270.03	202.49	162.61	181.12	139.05	149.95	213.21	229.15	188.94	185.34	157.46
AT2G39780	630.54	895.76	866.83	603.58	574.04	547.18	687.24	870.37	849.99	742.05	582.7	716.35
AT2G39780	630.54	895.76	866.83	603.58	574.04	547.18	687.24	870.37	849.99	742.05	582.7	716.35
AT2G23260	4.26	3.58	3.86	4.69	4.83	4.2	4.22	4.36	4.84	4.3	4.32	3.96
AT2G23250	3.44	3.18	2.96	3.38	3.53	3.07	3.19	3.23	3.21	2.82	3.01	3.07
AT2G23240	5.18	5.54	6.13	6.49	7.65	5.88	5.67	4.29	6.75	5.84	5.17	5.13
AT2G23240	5.18	5.54	6.13	6.49	7.65	5.88	5.67	4.29	6.75	5.84	5.17	5.13
AT2G23230	4.38	5.73	4.7	4.61	5.01	4.59	4.77	6.09	5.25	4.06	5.05	4.52
AT2G23230	4.38	5.73	4.7	4.61	5.01	4.59	4.77	6.09	5.25	4.06	5.05	4.52
AT2G23210	3.51	3.33	3.6	3.31	3.32	3.87	3.83	3.41	3.87	3.66	3.81	3.71
AT2G23200	14.15	17.51	16.93	18.82	12.58	17.17	13.97	17.55	12.36	29.67	29.63	23.5
AT2G23180	27.58	52.67	42.95	29.21	17.83	35.21	23.98	64.03	31.2	41.45	27.01	30.88
AT2G23170	12.9	54.85	35.05	8.88	10.02	12.56	18.88	17.05	20.08	8.92	5.24	16.3
AT2G23160	4.69	4.51	4.54	5.17	4.3	4.4	4.57	5.18	4.93	4.11	4.51	3.62
AT2G23340	27.05	30.14	36.23	64.7	21.39	40.34	28.07	17.3	29.69	66.46	21.19	28.05
AT2G23300	9.01	8.69	7.62	8.59	9.11	9.38	9.67	6.68	8.22	8.3	7.77	8.82
AT2G23270	37.19	8.34	11.92	7.52	27.6	62.24	48.71	7.69	7.56	6.69	16.47	21.05
AT2G23310	268.92	158.73	223.34	152.25	157.95	227.87	298.64	183.28	198.83	235.9	270.39	243.92
AT2G23310	268.92	158.73	223.34	152.25	157.95	227.87	298.64	183.28	198.83	235.9	270.39	243.92
AT2G23290	53.16	40.12	42.14	20.24	41	28.11	35.84	49.58	50	26.58	39.77	54.55
AT2G23350	917.5	735.2	570.56	868.28	769.78	790.25	943.31	597.4	836.57	877.63	507.75	728.22
AT2G39820	4.1	4.37	4.37	4.19	4.82	4.58	4.4	4.09	3.68	4.64	4.49	3.74
AT2G39830	7.83	7.32	5.66	5.95	7.55	6.67	8.25	6.76	7.31	7.1	5.59	7.23
AT2G39830	7.83	7.32	5.66	5.95	7.55	6.67	8.25	6.76	7.31	7.1	5.59	7.23
AT2G39830	7.83	7.32	5.66	5.95	7.55	6.67	8.25	6.76	7.31	7.1	5.59	7.23
AT2G39830	7.83	7.32	5.66	5.95	7.55	6.67	8.25	6.76	7.31	7.1	5.59	7.23
AT2G39850	8.05	23.68	10.9	10.34	10.17	8.58	6.7	13.82	20.59	13.02	6.71	7.55
AT2G45290	24.87	17.15	20.66	19.6	18.19	25.5	22.4	18.61	15.29	16	10.54	19.55
AT2G45290	24.87	17.15	20.66	19.6	18.19	25.5	22.4	18.61	15.29	16	10.54	19.55
AT2G40900	108.49	67.41	23.84	29.55	22.5	38.98	202.39	31.56	27.51	34.01	24.99	43.32
AT2G40910	3.44	3.58	3.55	3.73	3.91	4.03	3.29	4.27	4.69	4.04	3.5	3.34
AT2G40910	3.44	3.58	3.55	3.73	3.91	4.03	3.29	4.27	4.69	4.04	3.5	3.34
AT2G40950	58.47	57.04	47.35	55.58	86.71	86.77	85.35	44.59	45.81	59.84	92.77	67.63
AT2G40815	45.77	73.83	56.94	60.46	49.76	36.66	32.76	48.37	64.95	79.14	54.38	47.43
AT2G40815	45.77	73.83	56.94	60.46	49.76	36.66	32.76	48.37	64.95	79.14	54.38	47.43
AT2G40840	178.1	456.15	1324.15	1422.96	577.18	413.8	271.33	558.86	1361.73	1435.34	753.77	466.26
AT2G40860	7.85	10.4	6.37	6.37	8.3	5.48	9	10.75	8.01	8.11	9.98	8.36
AT2G40860	7.85	10.4	6.37	6.37	8.3	5.48	9	10.75	8.01	8.11	9.98	8.36
AT2G40860	7.85	10.4	6.37	6.37	8.3	5.48	9	10.75	8.01	8.11	9.98	8.36
AT2G40860	7.85	10.4	6.37	6.37	8.3	5.48	9	10.75	8.01	8.11	9.98	8.36
AT2G40880	1461.07	1702.16	1786.62	724.93	862.8	1264.62	1506.36	1975.03	1632.9	828.53	1050.36	1512.72
AT2G40935	62.72	35.34	52.59	48.87	40.57	39.72	74.01	53.88	53.81	51.31	76.27	54.23
AT2G40935	62.72	35.34	52.59	48.87	40.57	39.72	74.01	53.88	53.81	51.31	76.27	54.23
AT2G40935	62.72	35.34	52.59	48.87	40.57	39.72	74.01	53.88	53.81	51.31	76.27	54.23
AT2G40935	62.72	35.34	52.59	48.87	40.57	39.72	74.01	53.88	53.81	51.31	76.27	54.23
AT2G40935	62.72	35.34	52.59	48.87	40.57	39.72	74.01	53.88	53.81	51.31	76.27	54.23
AT2G40935	62.72	35.34	52.59	48.87	40.57	39.72	74.01	53.88	53.81	51.31	76.27	54.23
AT2G40935	62.72	35.34	52.59	48.87	40.57	39.72	74.01	53.88	53.81	51.31	76.27	54.23
AT2G40935	62.72	35.34	52.59	48.87	40.57	39.72	74.01	53.88	53.81	51.31	76.27	54.23
AT2G40935	62.72	35.34	52.59	48.87	40.57	39.72	74.01	53.88	53.81	51.31	76.27	54.23
AT2G40940	241.15	277.59	346.11	322.21	685.69	776.91	383.16	274.21	250.23	360.74	1090.59	763.77
AT2G40830	124.55	128.55	124.16	110.38	66.79	111.46	109.22	155.07	126.24	120.29	102.23	81.31
AT2G40830	124.55	128.55	124.16	110.38	66.79	111.46	109.22	155.07	126.24	120.29	102.23	81.31
AT2G40830	124.55	128.55	124.16	110.38	66.79	111.46	109.22	155.07	126.24	120.29	102.23	81.31
AT2G40830	124.55	128.55	124.16	110.38	66.79	111.46	109.22	155.07	126.24	120.29	102.23	81.31
AT2G40930	114.96	76.01	95.02	81.46	93.3	83.38	113.44	66.36	108.24	88.06	94.28	102.37
AT2G40930	114.96	76.01	95.02	81.46	93.3	83.38	113.44	66.36	108.24	88.06	94.28	102.37
AT2G40890	772.63	896.91	521.55	533.59	636.88	846.75	905.04	850.51	573.6	419.58	444.42	800.72
AT2G41590	3.59	4.39	3.54	4.24	3.85	3.99	3.25	3.56	4.35	4.01	4.27	3.27
AT2G41600	54.72	57.49	57.16	90.6	54.94	74.09	51.9	52.21	60.2	109.21	84.14	90.69
AT2G41600	54.72	57.49	57.16	90.6	54.94	74.09	51.9	52.21	60.2	109.21	84.14	90.69
AT2G41600	54.72	57.49	57.16	90.6	54.94	74.09	51.9	52.21	60.2	109.21	84.14	90.69
AT2G41600	54.72	57.49	57.16	90.6	54.94	74.09	51.9	52.21	60.2	109.21	84.14	90.69
AT2G41600	54.72	57.49	57.16	90.6	54.94	74.09	51.9	52.21	60.2	109.21	84.14	90.69
AT2G41600	54.72	57.49	57.16	90.6	54.94	74.09	51.9	52.21	60.2	109.21	84.14	90.69
AT2G41600	54.72	57.49	57.16	90.6	54.94	74.09	51.9	52.21	60.2	109.21	84.14	90.69
AT2G41610	4.35	4.77	4.65	4.59	4.99	5.3	4.67	4.1	4.14	4.14	4.28	4.39
AT2G41650	93.28	146.87	124.14	176.37	79.57	159.77	92.14	160.73	132.83	178.99	33.8	195.17
AT2G41690	4.12	3.8	3.79	5	3.91	4.64	4.03	4.43	4.17	4.04	4.44	4.19
AT2G41510	3.17	3.17	2.8	3.38	3.62	3.05	3.64	3.54	2.89	2.77	3.44	2.95
AT2G41510	3.17	3.17	2.8	3.38	3.62	3.05	3.64	3.54	2.89	2.77	3.44	2.95
AT2G41510	3.17	3.17	2.8	3.38	3.62	3.05	3.64	3.54	2.89	2.77	3.44	2.95
AT2G41520	16.13	13.43	11.28	16.09	11.98	17.48	21.81	32.36	17.23	16.84	15.92	20.98
AT2G41520	16.13	13.43	11.28	16.09	11.98	17.48	21.81	32.36	17.23	16.84	15.92	20.98
AT2G41520	16.13	13.43	11.28	16.09	11.98	17.48	21.81	32.36	17.23	16.84	15.92	20.98
AT2G41550	16.43	13.47	13.97	10.25	12.25	17.04	11.1	20.81	15.06	16.07	17.52	16.07
AT2G41540	186.21	393.53	428.45	341.51	218.66	191.06	172.45	418.67	284.84	384.61	144.21	210.95
AT2G41540	186.21	393.53	428.45	341.51	218.66	191.06	172.45	418.67	284.84	384.61	144.21	210.95
AT2G41540	186.21	393.53	428.45	341.51	218.66	191.06	172.45	418.67	284.84	384.61	144.21	210.95
AT2G41540	186.21	393.53	428.45	341.51	218.66	191.06	172.45	418.67	284.84	384.61	144.21	210.95
AT2G41660	10.94	5.34	13.81	14.93	30.86	12.28	16.31	4.68	12.9	11.45	8.71	15.51
AT2G41630	418.48	328.79	296.24	326.16	571.28	552.85	473.29	374.95	280.59	298.58	466.2	459.26
AT2G41530	625.01	728.37	745.21	772.8	877.57	600.17	595.89	691.86	690.12	816.38	739.88	642.38
AT2G41620	194.36	101.56	126.98	105.75	172.29	214.33	217.85	91.95	113.71	153.9	173.89	159.23
AT2G41560	2008.39	760.52	1011.22	1300.28	2207.97	2646.82	2213.25	729.95	972.58	1384.42	1974.34	2804.13
AT2G41560	2008.39	760.52	1011.22	1300.28	2207.97	2646.82	2213.25	729.95	972.58	1384.42	1974.34	2804.13
AT2G41560	2008.39	760.52	1011.22	1300.28	2207.97	2646.82	2213.25	729.95	972.58	1384.42	1974.34	2804.13
AT2G41560	2008.39	760.52	1011.22	1300.28	2207.97	2646.82	2213.25	729.95	972.58	1384.42	1974.34	2804.13
AT2G41680	851.13	807.04	614.12	701.12	782.9	824.64	738.45	899.79	692.85	565.89	555.87	837.01
AT2G41640	9.85	8.61	7.89	6.11	10.82	8.8	12.08	8	6.14	6.7	12.6	8.63
AT2G41640	9.85	8.61	7.89	6.11	10.82	8.8	12.08	8	6.14	6.7	12.6	8.63
AT2G41640	9.85	8.61	7.89	6.11	10.82	8.8	12.08	8	6.14	6.7	12.6	8.63
AT2G39810	43.42	39.72	40.29	35.99	36.72	48.35	51.22	27.36	37.51	43.57	50	39.77
AT2G39810	43.42	39.72	40.29	35.99	36.72	48.35	51.22	27.36	37.51	43.57	50	39.77
